prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee.,"

The child hurt their knee.","

The child is crying because they hurt their knee."
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The child started crying.","

The child started crying. The child hurt their knee."
My car got dirty. I washed the car.,My car got dirty.,"

The car was dirty and I washed it.","

The car was dirty. I washed it."
I washed the car. My car got dirty.,My car got dirty.,"

The car got dirty.","

The car got dirty."
Someone fainted. Someone called 911.,Someone fainted.,"

The other sentence is the cause of the fainting.","

The effect of the other sentence is that the person fainted."
Someone called 911. Someone fainted.,Someone fainted.,"

The other sentence is the cause of the fainted sentence.","

The effect of the other sentence is that the person fainted."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

The man accidentally pushed the vase off a counter.","

The man accidentally pushed the vase off a counter. The v"
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"

The man accidentally pushed the vase off a counter.","

The man's hand had been covered in blood, and the evidence"
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"

The woman opened her umbrella and the rain started falling.","

The woman opened her umbrella, which caused the rain to fall on"
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella. It"
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"

The boy looked up from his book and saw the other boy standing","

The boy looked up from his book. ""I'm not sure"
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"

The boy lifted his eyes from the book. There was a loud","

The boy lifted his eyes from the book. There was a loud"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"

The girl had a nightmare. The girl woke up covered in cold","

The girl woke up covered in cold sweat."
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"

The girl woke up covered in cold sweat. The girl had a","

The girl woke up covered in cold sweat. The girl had a"
It started raining. The driver turned the wipers on.,It started raining.,"

The driver turned the wipers on to prevent the car from being","

The effect of the other sentence is that it creates a more detailed"
The driver turned the wipers on. It started raining.,It started raining.,"

The driver turned the wipers on. It started raining.","

The driver turned the wipers on. It started raining."
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"

The watermelon was covered in red goo.","

The man was covered in red goo, and he looked so"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The man was covered in sticky red goo.","

The man was covered in sticky red goo. The watermelon"
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it helps the speaker to"
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it explains how the speaker"
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"

The other sentence is the cause of the other.","

The effect of the other is that the dinosaurs are no longer present"
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"

The dinosaurs became extinct. A large object hit the Earth.","

The effect of the other is that it causes the dinosaurs to become"
The bottle was left open. The soda went flat.,The bottle was left open.,"

The other sentence is the cause of the other.","

The bottle was left open. The soda went flat."
