,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green,"__________.

The blue ball hit the red ball. The red ball hit the green ball","__________.

The blue ball hit the red ball. The red ball hit the green ball","__________.

The blue ball hit the red ball. The red ball hit the green ball"
1,The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green,"__________.

The red ball hit the green ball. The blue ball hit the red ball","__________.

The red ball hit the green ball. The blue ball hit the red ball","__________.

The red ball hit the green ball. The blue ball hit the red ball"
2,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown,"__________.

The blue ball hit the red ball. The red ball hit the brown ball","__________.

The blue ball hit the red ball. The red ball hit the brown ball","__________.

The blue ball hit the red ball. The red ball hit the brown ball"
3,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown,"__________.

The red ball hit the brown ball. The blue ball hit the red ball","__________.

The red ball hit the brown ball. The blue ball hit the red ball","__________.

The red ball hit the brown ball. The blue ball hit the red ball"
4,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple,"__________.

The blue ball hit the red ball. The red ball hit the purple ball","__________.

The blue ball hit the red ball. The red ball hit the purple ball","__________.

The blue ball hit the red ball. The red ball hit the purple ball"
5,The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple,"__________.

The red ball hit the purple ball. The blue ball hit the red ball","__________.

The red ball hit the purple ball. The blue ball hit the red ball","__________.

The red ball hit the purple ball. The blue ball hit the red ball"
6,The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black,"__________.

The blue ball hit the red ball. The red ball hit the black ball","__________.

The blue ball hit the red ball. The red ball hit the black ball","__________.

The blue ball hit the red ball. The red ball hit the black ball"
7,The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black,"__________.

The red ball hit the black ball. The blue ball hit the red ball","__________.

The red ball hit the black ball. The blue ball hit the red ball","__________.

The red ball hit the black ball. The blue ball hit the red ball"
8,The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white,"__________.

The blue ball hit the red ball. The red ball hit the white ball","__________.

The blue ball hit the red ball. The red ball hit the white ball","__________.

The blue ball hit the red ball. The red ball hit the white ball"
9,The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white,"__________.

The red ball hit the white ball. The blue ball hit the red ball","__________.

The red ball hit the white ball. The blue ball hit the red ball","__________.

The red ball hit the white ball. The blue ball hit the red ball"
