prompts,correct_answers,answers
The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,"
The child started crying because the child hurt their knee."
The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,"
The child hurt their knee because the child started crying."
I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,"

I washed the car because my car got dirty. My car got dirty because I washed the"
My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,"

I washed the car because my car got dirty."
Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted., Someone called 911 because someone fainted.
Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted., Someone fainted because someone called 911.
The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"
The vase shattered on the floor because a man accidently pushed the vase off a counter"
A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter., A man accidently pushed the vase off a counter because the vase shattered on the floor.
The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,"
The woman who was walking on the street opened her umbrella because it started raining."
It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,"
The woman who was walking on the street opened her umbrella because it started raining."
The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise., The boy lifted his eyes from the book because there was a loud noise.
There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise., The boy lifted his eyes from the book because he was curious about what was happening.
The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,"
The girl woke up covered in cold sweat because the girl had a nightmare."
The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,"
The girl had a nightmare because the girl woke up covered in cold sweat."
The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,"
The driver turned the wipers on because it started raining."
It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,"
The driver turned the wipers on because it started raining."
A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded., A watermelon exploded because a man was covered in sticky red goo.
A watermelon exploded because a man was covered in sticky red goo. A man was covered in sticky red goo because a watermelon exploded.,A man was covered in sticky red goo because a watermelon exploded., A watermelon exploded because a man was covered in sticky red goo.
She went to the store and bought toilet paper because she noticed that she was out of toilet paper. She noticed that she was out of toilet paper because she went to the store and bought toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"
She went to the store and bought toilet paper because she noticed that she was out of toilet paper"
She noticed that she was out of toilet paper because she went to the store and bought toilet paper. She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"
She noticed that she was out of toilet paper and went to the store to buy more."
The dinosaurs became extinct because a large object hit the Earth. A large object hit the Earth because the dinosaurs became extinct.,The dinosaurs became extinct because a large object hit the Earth.,"
The dinosaurs became extinct because a large object hit the Earth."
A large object hit the Earth because the dinosaurs became extinct. The dinosaurs became extinct because a large object hit the Earth.,The dinosaurs became extinct because a large object hit the Earth., A large object hit the Earth because the dinosaurs became extinct.
The soda went flat because the bottle was left open. The bottle was left open because the soda went flat.,The soda went flat because the bottle was left open.,"
The soda went flat because the bottle was left open."
The bottle was left open because the soda went flat. The soda went flat because the bottle was left open.,The soda went flat because the bottle was left open.,"
The bottle was left open because the soda went flat."
George plugged the laptop charger in because the laptop ran out of battery. The laptop ran out of battery because George plugged the laptop charger in.,George plugged the laptop charger in because the laptop ran out of battery.,"

George plugged the laptop charger in because the laptop ran out of battery."
