prompts,correct_answers,cause_answers,effect_answers,cause_answers_ex_switched,effect_answers_ex_switched
The child hurt their knee. The child started crying.,The child hurt their knee.,"
The child started crying because they hurt their knee.","

The effect of the other sentence is that the child started crying.","

The child started crying.","

The child started crying. The child hurt their knee."
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The first sentence is the cause of the second.","

The child hurt their knee. The child started crying.","
The child started crying because they hurt their knee.","

The child started crying. The child hurt their knee."
My car got dirty. I washed the car.,My car got dirty.,"
My car got dirty. I washed the car.","
My car got clean.", My car got dirty.,"
My car got dirty. I washed the car."
I washed the car. My car got dirty.,My car got dirty.,"
I washed the car. My car got dirty.", My car got dirty.,"
I washed the car. My car got dirty.","
I washed the car."
Someone fainted. Someone called 911.,Someone fainted., Someone fainted., Someone called 911., Someone called 911.,"
Someone fainted."
Someone called 911. Someone fainted.,Someone fainted., Someone called 911.,"
Someone fainted.", Someone fainted.,"
Someone called 911."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

A man accidently pushed the vase off a counter.","

The vase shattered on the floor.","
The vase shattered on the floor.","

A man accidently pushed the vase off a counter."
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"
The vase shattered on the floor.","

The man accidently pushed the vase off a counter.","
The man accidently pushed the vase off a counter.","
The vase shattered on the floor."
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"
It started raining.","

It started raining.","
It started raining.","
It started raining."
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"
The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella. It","

The woman who was walking on the street opened her umbrella. It","
The woman who was walking on the street opened her umbrella. It started"
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"
There was a loud noise.","

The boy lifted his eyes from the book.","
The boy lifted his eyes from the book.","
There was a loud noise."
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"
The boy lifted his eyes from the book. There was a loud noise","

The boy lifted his eyes from the book. There was a loud","
The boy lifted his eyes from the book. There was a loud noise","
The boy lifted his eyes from the book. There was a loud noise"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"
The girl had a nightmare.","
The girl woke up covered in cold sweat.","
The girl woke up covered in cold sweat.","
The girl had a nightmare."
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"
The girl woke up covered in cold sweat.","
The girl had a nightmare.", The girl had a nightmare.,"
The girl woke up covered in cold sweat."
It started raining. The driver turned the wipers on.,It started raining.,"
It started raining.","
It started raining.","
It started raining.","
It started raining."
The driver turned the wipers on. It started raining.,It started raining.,"
The driver turned the wipers on.","
It started raining.","
It started raining.","
The driver turned the wipers on. It started raining."
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"
A watermelon exploded.","

A watermelon exploded.","

The man was covered in sticky red goo.","
A watermelon exploded."
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The man was covered in sticky red goo.","

A watermelon exploded.","

The man was covered in sticky red goo.","

A man was covered in sticky red goo."
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"
She noticed that she was out of toilet paper. She went to the","
She bought toilet paper.","
She went to the store and bought toilet paper.","
She noticed that she was out of toilet paper. She went to the"
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"
She went to the store and bought toilet paper. She noticed that she","
She went to the store and bought toilet paper.","
She went to the store and bought toilet paper. She noticed that she","
She went to the store and bought toilet paper. She noticed that she"
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"
A large object hit the Earth.","

The dinosaurs became extinct.","

The large object hit the Earth.","

A large object hit the Earth."
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"
The dinosaurs became extinct.","
A large object hit the Earth.","
A large object hit the Earth.","

The dinosaurs became extinct."
The bottle was left open. The soda went flat.,The bottle was left open.,"
The bottle was left open.","
The soda went flat.","
The soda went flat.","
The bottle was left open."
The soda went flat. The bottle was left open.,The bottle was left open.,"
The soda went flat.","
The soda went flat.","
The soda went flat.","
The soda went flat."
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"
The laptop ran out of battery.","
George plugged the laptop charger in.","
George plugged the laptop charger in.","
The laptop ran out of battery."
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"
George plugged the laptop charger in.","

George plugged the laptop charger in. The laptop ran out of battery","
George plugged the laptop charger in.","
George plugged the laptop charger in."
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"
The curtains were opened.","
The curtains were opened.","
The curtains were opened.","
The curtains were opened."
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"
The curtains were opened.","
The curtains were opened.", The curtains were opened.,"

The child started crying. The child hurt their knee."
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"
The insect pollinated the tomato flowers.","
Tomatoes grew on the vine.","
Tomatoes grew on the vine.","
The insect pollinated the tomato flowers. Tomatoes grew on the vine"
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"
Tomatoes grew on the vine. The insect pollinated the tomato flowers","
The insect pollinated the tomato flowers.","
The insect pollinated the tomato flowers.","
Tomatoes grew on the vine. The insect pollinated the tomato flowers"
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"
The girl stepped onto the street.","
The driver hit the brakes.","
The driver hit the brakes.","
The girl stepped onto the street."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"
The driver hit the brakes.","
The girl stepped onto the street.","
The driver hit the brakes.","
The driver hit the brakes."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"
There was a wardrobe malfunction.","
There was a wardrobe malfunction.","
There was a wardrobe malfunction.","
There was a wardrobe malfunction."
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"
The performer ran off the stage.","
There was a wardrobe malfunction.","
There was a wardrobe malfunction.","
The performer ran off the stage."
