,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
0,The baz hit the fuu. The fuu hit the schleep. The schleep fell in the hole.,False,baz,fuu,schleep," the baz
The blubb hit the fuu. The fuu hit the schleep.", the fuu, the schleep," the baz
The dling hit the plomp. The plomp hit the dling.", the baz," the dinglebob
The blubb hit the blubb. The baz hit the bl"
1,The fuu hit the schleep. The baz hit the fuu. The schleep fell in the hole.,True,baz,fuu,schleep," the fuu
The blubb hit the plomp. The fuu hit the blubb.", the fuu, the dinglebob," the fuu
The fuu hit the baz. The baz hit the dingleb"," the fuu
The blubb hit the dinglebob. The dinglebob hit", the fuu
2,The baz hit the fuu. The fuu hit the blubb. The blubb fell in the hole.,False,baz,fuu,blubb, the baz, the fuu, the blubb," the baz
The blubb hit the dinglebob. The dinglebob fell", the fuu," the blubb
The baz hit the fuu. The fuu hit the blubb."
3,The fuu hit the blubb. The baz hit the fuu. The blubb fell in the hole.,True,baz,fuu,blubb," the baz
The blubb hit the plomp. The plomp hit the dingleb", the fuu, the fuu," the baz
The baz hit the dinglebob. The dinglebob hit", the fuu, the fuu
4,The baz hit the fuu. The fuu hit the dling. The dling fell in the hole.,False,baz,fuu,dling," the baz
The baz hit the plomp. The plomp fell in the hole.", the fuu, the dling, the baz, the dling, the fuu
5,The fuu hit the dling. The baz hit the fuu. The dling fell in the hole.,True,baz,fuu,dling, the blubb," the fuu
The plomp hit the dinglebob. The dinglebob fell", the dinglebob," the fuu
The blubb hit the plomp. The plomp fell in the hole.", the fuu, the fuu
6,The baz hit the fuu. The fuu hit the plomp. The plomp fell in the hole.,False,baz,fuu,plomp, the baz, the fuu, the plomp," the baz
The dling hit the blubb. The blubb hit the dling.", the blubb," the plomp
The blubb hit the plomp. The fuu hit the blubb."
7,The fuu hit the plomp. The baz hit the fuu. The plomp fell in the hole.,True,baz,fuu,plomp," the baz
The plomp hit the fuu. The baz hit the plomp."," the fuu
The blubb hit the plomp. The fuu hit the blubb.", the plomp," the fuu, the blubb, and the dinglebob", the fuu, the fuu
8,The baz hit the fuu. The fuu hit the dinglebob. The dinglebob fell in the hole.,False,baz,fuu,dinglebob," the baz
The blubb hit the blubb. The blubb hit the dingleb", the fuu, the dinglebob," the baz
The dinglebob hit the plomp. The plomp hit the d", the baz, the dinglebob
9,The fuu hit the dinglebob. The baz hit the fuu. The dinglebob fell in the hole.,True,baz,fuu,dinglebob, the baz, the fuu, the dinglebob," the baz
The blubb hit the plomp. The plomp hit the dingleb", the blubb, the dinglebob
10,The baz hit the schleep. The schleep hit the blubb. The blubb fell in the hole.,False,baz,schleep,blubb," the baz
The baz hit the plomp. The plomp hit the hole.", the blubb, the blubb, the blubb, the blubb, the blubb
11,The schleep hit the blubb. The baz hit the schleep. The blubb fell in the hole.,True,baz,schleep,blubb, the baz," the blubb
The fuu hit the blubb. The dinglebob hit the f", the baz," the schleep
The blubb hit the plomp. The plomp hit the dingleb"," the schleep
The blubb hit the plomp. The plomp hit the dingleb", the blubb
12,The baz hit the schleep. The schleep hit the dling. The dling fell in the hole.,False,baz,schleep,dling," the baz
The fuu hit the dling. The dling hit the plomp.", the dling, the dling," the baz
The blubb hit the plomp. The schleep hit the blubb.", the baz," the dling
The fuu hit the blubb. The blubb hit the fuu."
13,The schleep hit the dling. The baz hit the schleep. The dling fell in the hole.,True,baz,schleep,dling, the baz," the blubb
The blubb hit the plomp. The fuu hit the blubb."," the dling
The fuu hit the blubb. The blubb hit the fuu.", the baz, the baz, the baz
14,The baz hit the schleep. The schleep hit the plomp. The plomp fell in the hole.,False,baz,schleep,plomp," the baz
The blubb hit the plomp. The plomp hit the dingleb", the plomp, the plomp," the baz
The plomp hit the dinglebob. The blubb hit the d", the baz," the plomp
The plomp hit the dinglebob. The fuu hit the pl"
15,The schleep hit the plomp. The baz hit the schleep. The plomp fell in the hole.,True,baz,schleep,plomp, the baz," the baz
The fuu hit the plomp. The dinglebob hit the f", the plomp, the schleep, the baz, the schleep
16,The baz hit the schleep. The schleep hit the dinglebob. The dinglebob fell in the hole.,False,baz,schleep,dinglebob, the baz, the dinglebob, the dinglebob, the baz," the blubb
The plomp hit the dinglebob. The dinglebob hit"," the dinglebob
The fuu hit the dinglebob. The blubb hit"
17,The schleep hit the dinglebob. The baz hit the schleep. The dinglebob fell in the hole.,True,baz,schleep,dinglebob, the baz," the blubb
The plomp hit the fuu. The baz hit the plomp."," the dinglebob
The fuu hit the dling. The baz hit the f", the blubb, the blubb, the dinglebob
18,The baz hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,baz,blubb,dling, the baz, the blubb, the dling, the fuu, the blubb," the blubb
The schleep hit the blubb. The baz hit the schleep."
