,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green,"

The blue ball hit the red ball.","

The blue ball was second in the chain.","

The blue ball fell into the hole."
1,The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green,"

The blue ball started the chain.","

The blue ball was second in the chain.","
The blue ball fell into the hole."
2,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown,"

The blue ball","

The blue ball was second in the chain.","

The blue ball"
3,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown,"

The blue ball","

The blue ball was second in the chain.","

The blue ball fell into the hole."
4,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple,"

The blue ball started the chain.","

The blue ball was second in the chain.","

The blue ball"
5,The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple,"
The blue ball hit the red ball.","

The blue ball was second in the chain.","

The blue ball fell into the hole."
6,The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black,"

The blue ball","
The blue ball was second in the chain.","
The blue ball hit the red ball."
7,The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black,"

The blue ball hit the black ball.","

The blue ball was second in the chain.","
The blue ball fell into the hole."
8,The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white,"

The blue ball","

The blue ball was second in the chain.","
The blue ball hit the red ball."
9,The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white,"

The blue ball","
The blue ball hit the white ball.","
The blue ball hit the red ball."
10,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball fell in the hole.,False,blue,green,brown,"

The brown ball started the chain.","

The blue ball was second in the chain.","
The green ball"
11,The green ball hit the brown ball. The blue ball hit the green ball. The brown ball fell in the hole.,True,blue,green,brown,"

The blue ball","
The blue ball was second in the chain.","
The blue ball fell into the hole."
