,sequence,answer_cause,switched,responses
0,The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,False,"

The child started crying because the child hurt their knee."
1,The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,True,"

The child started crying because the child hurt their knee."
2,I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,False,"

The sentence that describes the cause and effect relationship better is ""I washed the car because my"
3,My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,True,"

My car got dirty because i washed the car."
4,Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,False,"

The sentence that describes the cause and effect relationship better is ""Someone called 911 because someone f"
5,Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,True,"

Someone called 911 because someone fainted."
6,The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,False,"

The vase shattered on the floor because a man accidently pushed it off a counter."
7,A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,True,"

A man accidently pushed the vase off a counter because the vase shattered on the"
8,The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,False,"

The woman who was walking on the street opened her umbrella because it started raining."
9,It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,True,"

The woman who was walking on the street opened her umbrella because it started raining."
10,The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.,False,"

The boy lifted his eyes from the book because there was a loud noise."
11,There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.,True,"

The boy lifted his eyes from the book because there was a loud noise."
12,The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,False,"

The girl woke up covered in cold sweat because she had a nightmare."
13,The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,True,"

The sentence describes the cause and effect relationship better."
14,The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,False,"

The driver turned the wipers on because it started raining."
15,It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,True,"

It started raining because the driver turned the wipers on."
16,A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded.,False,"

A man was covered in sticky red goo because a watermelon exploded."
17,A watermelon exploded because a man was covered in sticky red goo. A man was covered in sticky red goo because a watermelon exploded.,A man was covered in sticky red goo because a watermelon exploded.,True,"

A watermelon exploded because a man was covered in sticky red goo."
18,She went to the store and bought toilet paper because she noticed that she was out of toilet paper. She noticed that she was out of toilet paper because she went to the store and bought toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,False,"

She went to the store and bought toilet paper because she was out of toilet paper."
19,She noticed that she was out of toilet paper because she went to the store and bought toilet paper. She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,True,"

She noticed that she was out of toilet paper because she went to the store and bought toilet"
20,The dinosaurs became extinct because a large object hit the Earth. A large object hit the Earth because the dinosaurs became extinct.,The dinosaurs became extinct because a large object hit the Earth.,False,"

The dinosaurs became extinct because a large object hit the Earth."
21,A large object hit the Earth because the dinosaurs became extinct. The dinosaurs became extinct because a large object hit the Earth.,The dinosaurs became extinct because a large object hit the Earth.,True,"

A large object hit the Earth because the dinosaurs became extinct."
22,The soda went flat because the bottle was left open. The bottle was left open because the soda went flat.,The soda went flat because the bottle was left open.,False,"

The soda went flat because the bottle was left open."
23,The bottle was left open because the soda went flat. The soda went flat because the bottle was left open.,The soda went flat because the bottle was left open.,True,"

The bottle was left open because the soda went flat."
24,George plugged the laptop charger in because the laptop ran out of battery. The laptop ran out of battery because George plugged the laptop charger in.,George plugged the laptop charger in because the laptop ran out of battery.,False,"

The laptop ran out of battery because George plugged the laptop charger in."
25,The laptop ran out of battery because George plugged the laptop charger in. George plugged the laptop charger in because the laptop ran out of battery.,George plugged the laptop charger in because the laptop ran out of battery.,True,"

The laptop ran out of battery because George plugged the laptop charger in."
26,Sunlight filled the room because the curtains were opened. The curtains were opened because sunlight filled the room.,Sunlight filled the room because the curtains were opened.,False,"

The sunlight filled the room because the curtains were opened."
27,The curtains were opened because sunlight filled the room. Sunlight filled the room because the curtains were opened.,Sunlight filled the room because the curtains were opened.,True,"

The curtains were opened because sunlight filled the room."
28,Tomatoes grew on the vine because the insect pollinated the tomato flowers. The insect pollinated the tomato flowers because tomatoes grew on the vine.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,False,"

Tomatoes grew on the vine because the insect pollinated the tomato flowers."
29,The insect pollinated the tomato flowers because tomatoes grew on the vine. Tomatoes grew on the vine because the insect pollinated the tomato flowers.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,True,"

The insect pollinated the tomato flowers because tomatoes grew on the vine."
30,The driver hit the brakes because the girl stepped onto the street. The girl stepped onto the street because the driver hit the brakes.,The driver hit the brakes because the girl stepped onto the street.,False,"

The driver hit the brakes because the girl stepped onto the street."
31,The girl stepped onto the street because the driver hit the brakes. The driver hit the brakes because the girl stepped onto the street.,The driver hit the brakes because the girl stepped onto the street.,True,"

The driver hit the brakes because the girl stepped onto the street."
32,The performer ran off the stage because there was a wardrobe malfunction. There was a wardrobe malfunction because the performer ran off the stage.,The performer ran off the stage because there was a wardrobe malfunction.,False,"

The performer ran off the stage because there was a wardrobe malfunction."
33,There was a wardrobe malfunction because the performer ran off the stage. The performer ran off the stage because there was a wardrobe malfunction.,The performer ran off the stage because there was a wardrobe malfunction.,True,"

There was a wardrobe malfunction because the performer ran off the stage."
34,"The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine. A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.",False,"

A bird hit the engine because the pilot turned on the ""fasten seatbelts"""
35,"A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light. The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.",True,"

A bird hit the engine because the pilot turned on the ""fasten seatbelts"""
36,The man sipped the milk and spit it out because the milk was left outside the fridge over night. The milk was left outside the fridge over night because the man sipped the milk and spit it out.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,False,"

The man sipped the milk and spit it out because the milk was left outside the fridge"
37,The milk was left outside the fridge over night because the man sipped the milk and spit it out. The man sipped the milk and spit it out because the milk was left outside the fridge over night.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,True,"

The milk was left outside the fridge over night because the man sipped the milk and spit"
38,The man turned down the music volume because the man couldn't hear what the woman was saying. The man couldn't hear what the woman was saying because the man turned down the music volume.,The man turned down the music volume because the man couldn't hear what the woman was saying.,False,"

The man turned down the music volume because the man couldn't hear what the woman was saying"
39,The man couldn't hear what the woman was saying because the man turned down the music volume. The man turned down the music volume because the man couldn't hear what the woman was saying.,The man turned down the music volume because the man couldn't hear what the woman was saying.,True,"

The man turned down the music volume because the man couldn't hear what the woman was saying"
40,The meat spoiled because the power was out for days. The power was out for days because the meat spoiled.,The meat spoiled because the power was out for days.,False,"

The meat spoiled because the power was out for days."
41,The power was out for days because the meat spoiled. The meat spoiled because the power was out for days.,The meat spoiled because the power was out for days.,True,"

The power was out for days because the meat spoiled."
42,A flower grew because the gardener planted a seed. The gardener planted a seed because a flower grew.,A flower grew because the gardener planted a seed.,False,"

A flower grew because the gardener planted a seed."
43,The gardener planted a seed because a flower grew. A flower grew because the gardener planted a seed.,A flower grew because the gardener planted a seed.,True,"

A flower grew because the gardener planted a seed."
44,The team won the championship because the team won the game. The team won the game because the team won the championship.,The team won the championship because the team won the game.,False,"

The team won the championship because the team won the game."
45,The team won the game because the team won the championship. The team won the championship because the team won the game.,The team won the championship because the team won the game.,True,"

The team won the game because the team won the championship."
46,The man climbed in through the window because the door was locked. The door was locked because the man climbed in through the window.,The man climbed in through the window because the door was locked.,False,"

The man climbed in through the window because the door was locked."
47,The door was locked because the man climbed in through the window. The man climbed in through the window because the door was locked.,The man climbed in through the window because the door was locked.,True,"

The door was locked because the man climbed in through the window."
48,The ship capsized because the wind blew strong. The wind blew strong because the ship capsized.,The ship capsized because the wind blew strong.,False,"

The wind blew strong because the ship capsized."
49,The wind blew strong because the ship capsized. The ship capsized because the wind blew strong.,The ship capsized because the wind blew strong.,True,"

The wind blew strong because the ship capsized."
50,The man went to jail because the man robbed a gas station. The man robbed a gas station because the man went to jail.,The man went to jail because the man robbed a gas station.,False,"

The man robbed a gas station because the man went to jail."
51,The man robbed a gas station because the man went to jail. The man went to jail because the man robbed a gas station.,The man went to jail because the man robbed a gas station.,True,"

The man robbed a gas station because the man went to jail."
52,Acme paid Jill's legal fees because Jill won the lawsuit against Acme. Jill won the lawsuit against Acme because acme paid Jill's legal fees.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,False,"

The sentence describes the cause and effect relationship better."
53,Jill won the lawsuit against Acme because acme paid Jill's legal fees. Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,True,"

The sentence describes the cause and effect relationship better."
54,School was cancelled because there was a snowstorm. There was a snowstorm because school was cancelled.,School was cancelled because there was a snowstorm.,False,"

There was a snowstorm because school was cancelled."
55,There was a snowstorm because school was cancelled. School was cancelled because there was a snowstorm.,School was cancelled because there was a snowstorm.,True,"

There was a snowstorm because school was cancelled."
