,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False,"

The child hurt their knee and started crying.","

The child hurt their knee and started crying."
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True,"

The other sentence caused the child to cry.","

The child started crying. The child hurt their knee.

The child started crying."
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False,"

I washed the car.

The sentence caused the other because it is the first sentence","

The car got dirty. I washed the car.

The car got dirty. I"
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True,"

I washed the car. My car got dirty.

I washed the car. My","

The car got dirty because I washed it."
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False,"

The other sentence caused the fainting person.","

The effect of the other is to make the person faint."
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True,"

The caller said, ""Someone fainted.""","

The effect of the other is to make the person faint."
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False,"

The man accidentally pushed the vase off a counter. The vase shattered on the floor","

The man accidentally pushed the vase off a counter and it shattered on the floor."
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True,"

The vase shattered on the floor. A man pushed the vase off a counter.","

The vase shattered on the floor. The man was accidently pushed the vase off"
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False,"

The woman who was walking on the street opened her umbrella and started raining.","

The woman who was walking on the street opened her umbrella and it started raining."
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True,"

The woman who was walking on the street opened her umbrella. It started raining.","

The woman who was walking on the street opened her umbrella. It started raining."
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False,"

The boy lifted his eyes from the book and saw a large, green, snake slithering","

The boy lifted his eyes from the book and saw a large, green, snake slithering"
