,sequence,answer_cause,switched,responses,responses_ss
0,The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,False,"School was cancelled because there was a snowstorm.

The child started crying because the child hurt","

The child started crying because the child hurt their knee.
The child hurt their knee because"
1,The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,True,"A man was covered in sticky red goo because a watermelon exploded.

The child hurt","Alice missed her flight because Alice didn't wake up.
The child hurt their knee because the child"
2,I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,False,I washed the car because my car got dirty.,"I got an A on the test because i studied hard.
I studied hard because i got an"
3,My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,True,"I got an A on the test because i studied hard.

My car got dirty because i","The man went to jail because the man robbed a gas station.

The man went to jail"
4,Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,False,Someone called 911 because someone fainted. Someone fainted because someone called 911.,The driver turned the wipers on because someone called 911.Someone called 911 because someone fainted.
5,Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,True,Someone fainted because someone called 911. Someone called 911 because someone fainted.,"The driver was pulled over and was fined because the driver ran a red light.
Someone fainted"
6,The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,False,"Acme paid Jill's legal fees because Jill won the lawsuit against Acme.

The v","A flower grew because the gardener planted a seed.

The vase shattered on the floor"
7,A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,True,"A man was covered in sticky red goo because a watermelon exploded.
A man accidently",The vase shattered on the floor because a man accidently pushed the vase off a counter.
8,The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,False,The woman who was walking on the street opened her umbrella because it started raining. It started raining because,The woman who was walking on the street opened her umbrella because it started raining.
9,It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,True,The woman who was walking on the street opened her umbrella because it started raining.,"School was cancelled because there was a snowstorm.
It started raining because the woman who was walking"
10,The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.,False,"School was cancelled because there was a snowstorm.

The boy lifted his eyes from the book","The boy lifted his eyes from the book because there was a loud noise.
The boy lifted his"
11,There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.,True,"The boy lifted his eyes from the book because there was a loud noise.

The boy lifted","The boy lifted his eyes from the book because there was a loud noise.

There was a"
12,The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,False,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare
13,The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,True,The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered,The driver was pulled over and was fined because the driver ran a red light.
14,The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,False,The driver turned the wipers on because it started raining. It started raining because the driver turned the,"The driver was pulled over and was fined because the driver ran a red light.
The driver turned"
15,It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,True,"My friend celebrated with their family because my friend got a promotion.

It started raining because the",George plugged the laptop charger in because the laptop ran out of battery.
16,A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded.,False,"A watermelon exploded because a man was covered in sticky red goo.

A man was","A watermelon exploded because a man was covered in sticky red goo.

A watermelon"
