prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee.,"

The child hurt their knee. The child started crying.","

The child hurt their knee. The child started crying."
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The child started crying. The child hurt their knee.","

The child started crying. The child hurt their knee."
My car got dirty. I washed the car.,My car got dirty.,"

The sentence ""I washed the car."" is the cause of the","

The sentence ""I washed the car."" has the effect of making"
I washed the car. My car got dirty.,My car got dirty.,"

The sentence ""I washed the car."" is the cause of the","

The sentence ""I washed the car."" has the effect of making"
Someone fainted. Someone called 911.,Someone fainted.,"

The cause of the other fainted.","

The effect of the other is to make the person faint."
Someone called 911. Someone fainted.,Someone fainted.,"

The cause of the other is fainting.","

The effect of the other sentence is to make the person who f"
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

The man's negligence is the cause of the other sentence.","

The man's action caused the vase to shatter on the floor"
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"

The man pushed the vase off the counter because he was trying","

The man's action caused the vase to shatter on the floor"
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella and it"
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"

The woman who was walking on the street opened her umbrella. It","

The woman who was walking on the street opened her umbrella. It"
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"

The boy lifted his eyes from the book and saw a large,","

The boy lifted his eyes from the book and saw a large,"
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"

The boy lifted his eyes from the book. There was a loud","

The boy lifted his eyes from the book. There was a loud"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"

The girl had a nightmare. The girl woke up covered in cold","

The girl had a nightmare. The girl woke up covered in cold"
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"

The girl woke up covered in cold sweat.","

The girl woke up covered in cold sweat."
It started raining. The driver turned the wipers on.,It started raining.,"

The driver turned the wipers on because it started raining.","

The driver turned the wipers on and the rain started to fall"
The driver turned the wipers on. It started raining.,It started raining.,"

The driver turned the wipers on. It started raining.","

The driver turned the wipers off. It stopped raining."
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"

The watermelon exploded because the man was covered in sticky red go","

The man was covered in sticky red goo because the watermelon"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The man was covered in sticky red goo. The watermelon","

The man was covered in sticky red goo. A watermelon"
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""I went to the store and bought toilet paper.""","

The sentence without the comma is the effect of the other."
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""She went to the store and bought toilet paper.""","

The sentence without the comma is the effect of the other."
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"

The large object hit the Earth.","

The effect of the large object is to kill all the dinosaurs."
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"

The large object hit the Earth.","

The large object hit the Earth."
The bottle was left open. The soda went flat.,The bottle was left open.,"

The bottle was left open. The soda went flat.","

The sentence without the comma is the effect of the other."
The soda went flat. The bottle was left open.,The bottle was left open.,"

The soda went flat. The bottle was left open.","

The soda went flat. The bottle was left open."
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in"
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"

The laptop charger in.","

The laptop ran out of battery because it was plugged in to the"
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"

The curtains were opened. Sunlight filled the room.","

The curtains were opened. Sunlight filled the room."
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"

The curtains were opened because the sun was shining.","

The effect of the other sentence is to make the room brighter."
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"

The sentence that is the cause of the other is ""The insect","

The effect of the other is to make the tomato flowers pollinated"
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"

The sentence that is the cause of the other is ""The insect","

The effect of the other is to make the tomato flowers more poll"
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"

The girl stepped onto the street. The driver hit the brakes.","

The girl stepped onto the street. The driver hit the brakes."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"

The girl stepped onto the street.","

The girl stepped onto the street."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"

The performer ran off the stage because they were wearing a dress that","

The other sentence is the cause of the wardrobe malfunction."
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"

The performer ran off the stage.","

The performer ran off the stage. There was a wardrobe malfunction."
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"

The bird hit the engine.","

The bird hit the engine. The pilot turned on the ""fast"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"

The bird hit the engine.","

The pilot turned on the ""fasten seatbelts"" light"
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,"

The man spat out the milk and the sentence that follows is the","

The man spat out the milk and the sentence that follows is the"
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,"

The man spit out the milk because he was not happy with it","

The man spat the milk out and the milk was left outside the"
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume because he was tired.","

The man turned down the music volume because he was tired."
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume because he didn't want to","

The man turned down the music volume. The man couldn't hear"
The power was out for days. The meat spoiled.,The power was out for days.,"

The power was out for days. The meat spoiled.","

The power was out for days. The meat spoiled."
The meat spoiled. The power was out for days.,The power was out for days.,"

The meat spoiled. The power was out for days.","

The meat spoiled. The power was out for days."
The gardener planted a seed. A flower grew.,The gardener planted a seed.,"

The gardener planted a seed. A flower grew.","

The gardener watered the seed. A flower grew."
A flower grew. The gardener planted a seed.,The gardener planted a seed.,"

The gardener planted a seed.","

The effect of the other is to make the flower grow."
The team won the game. The team won the championship.,The team won the game.,"

The team won the game.","

The team won the game."
The team won the championship. The team won the game.,The team won the game.,"

The team won the championship.","

The team won the championship."
The door was locked. The man climbed in through the window.,The door was locked.,"

The man climbed in through the window because he wanted to get away","

The man climbed in through the window and then got out."
The man climbed in through the window. The door was locked.,The door was locked.,"

The man climbed in through the window.","

The man climbed out of the window."
The wind blew strong. The ship capsized.,The wind blew strong.,"

The wind blew strong. The ship capsized.","

The wind blew strong and the ship capsized."
The ship capsized. The wind blew strong.,The wind blew strong.,"

The ship capsized. The wind blew strong.","

The ship capsized. The wind blew strong."
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,"

The man robbed a gas station. The man went to jail because","

The man who robbed a gas station will be in jail for a"
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,"

The man went to jail because he robbed a gas station.","

The man went to jail. The man robbed a gas station."
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,"

The sentence ""Acme paid Jill's legal fees"" is the","

The sentence ""Acme paid Jill's legal fees"" means that"
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,"

The sentence ""Jill won the lawsuit against Acme"" is","

The sentence ""Jill won the lawsuit against Acme"" means"
There was a snowstorm. School was cancelled.,There was a snowstorm.,"

The snowstorm caused the school to be cancelled.","

The sentence ""The sentence ""The sentence is the effect of the"
School was cancelled. There was a snowstorm.,There was a snowstorm.,"

The school was cancelled. There was a snowstorm.","

The sentence ""The school was cancelled."" is the effect of the"
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,"

The tenants noticed mold on the bathroom ceiling. The tenants contacted their","

The tenants noticed mold on the bathroom ceiling. The tenants contacted their"
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord.","

The tenants contacted their landlord. The tenants noticed mold on the bathroom"
I studied hard. I got an A on the test.,I studied hard.,"

The sentence ""I studied hard."" is the cause of the sentence","

The effect of the other is to make the student more interested in"
I got an A on the test. I studied hard.,I studied hard.,"

The other sentence is the cause of the first sentence.","

The effect of the other is to make the student study harder."
The boy threw a rock. The window broke.,The boy threw a rock.,"

The boy threw a rock. The window broke.","

The boy threw a rock and the window broke."
The window broke. The boy threw a rock.,The boy threw a rock.,"

The window broke. The boy threw a rock.","

The window broke. The boy threw a rock and it hit the"
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"

The other sentence is the cause of the driver's fine.","

The sentence of the other driver is the effect of the red light"
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,"

The other sentence is the cause of the driver's fine.","

The other sentence results in the driver being pulled over and being fined"
The girl skipped school. The girl got detention.,The girl skipped school.,"

The girl skipped school. The girl got detention.","

The girl skipped school. The girl got detention."
The girl got detention. The girl skipped school.,The girl skipped school.,"

The girl got detention because she skipped school.","

The girl got detention. The girl skipped school."
I flipped the switch. Light filled the room.,I flipped the switch.,"

The light switch is the cause of the light.","

The light in the room was turned off."
Light filled the room. I flipped the switch.,I flipped the switch.,"

The sentence that is the cause of the other is ""flipped","

The room filled with light and the switch was turned on."
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,"

The sentence that caused the other sentence is ""pulled the dog","

The dog bit me."
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,"

The dog bit me. I pulled the dog's tail.","

The sentence with the effect is the one that is being used."
School was on break. The family went on vacation.,School was on break.,"

The family went on vacation.","

The family went on vacation and the school was on break."
The family went on vacation. School was on break.,School was on break.,"

The family went on vacation. School was on break.","

The family went on vacation. School was on break."
The air conditioner broke. The family went to the beach.,The air conditioner broke.,"

The air conditioner broke.","

The family went to the beach."
The family went to the beach. The air conditioner broke.,The air conditioner broke.,"

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke."
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,"

The girl had a fever. Mom gave the girl fever medicine.","

The girl had a fever. Mom gave the girl fever medicine."
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,"

The girl's fever was caused by the medicine.","

The girl had a fever."
The bread was dry. We made French toast.,The bread was dry.,"

The sentence ""We made French toast."" is the cause of the","

The sentence that is the effect of the other is ""The bread"
We made French toast. The bread was dry.,The bread was dry.,"

The sentence ""The bread was dry."" is the cause of the","

The sentence ""The bread was dry."" is the result of the"
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,"

The company's strong earnings.","

The company's stock went up because the company's earnings were strong"
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,"

The company's stock went up because it posted strong earnings.","

The company's stock went up because the company's posted strong earnings"
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,"

The sentence ""I put my clothes in the washing machine."" is","

The sentence that the speaker is saying is the effect of the other"
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,"

The sentence ""My clothes got dirty."" is the cause of the","

The sentence after the one that says ""my clothes got dirty"""
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,"

The promotion caused the friend's family to celebrate.","

The effect of the other is to make the friend's family happy"
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,"

The promotion caused the friend's family to celebrate.","

The effect of the other is to make the friend's family happy"
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,"

The basketball player was shoved. The basketball player took a free throw","

The basketball player was shoved. The basketball player took a free throw"
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,"

The basketball player took a free throw. The basketball player was shoved","

The other sentence results in the basketball player being shoved."
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,"

The other sentence is the cause of the first sentence.","

The sentence without the comma is the effect of the comma."
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,"

The other sentence is the cause of the first sentence.","

The sentence without the comma is the effect of the other."
The floor was wet. The man sued.,The floor was wet.,"

The floor was wet. The man sued.","

The man sued."
The man sued. The floor was wet.,The floor was wet.,"

The man sued. The floor was wet.","

The man sued. The floor was wet."
It rained. The picnic was cancelled.,It rained.,"

The sentence ""The sentence ""The rain is falling"" is the","

The sentence ""The picnic was cancelled."" is the effect of the"
The picnic was cancelled. It rained.,It rained.,"

The picnic was cancelled because it rained.","

The picnic was cancelled because it rained."
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,"

The girl didn't wear her sweater. The girl caught a cold","

The girl didn't wear her sweater. The girl caught a cold"
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,"

The girl caught a cold. The girl didn't wear her sweater","

The girl caught a cold. The girl didn't wear her sweater"
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,"

The man got lost in the woods because he was looking for his","

The man got lost in the woods and was lost for hours."
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,"

The man got lost in the woods because he was looking for the","

The search party was assembled. The man got lost in the woods"
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,"

The cause of the other sentence is drinking.","

The effect of the other is to make Ted drunker."
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,"

The cause of the other sentence is Ted going out drinking.","

The effect of the other sentence is that Ted has a hangover"
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,"

The sentence ""Bob opened the jar and was frustrated."" is the","

The effect of the other is to make Bob frustrated."
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,"

The sentence ""Alice ate the last cookie."" is the cause of","

The sentence after the one that has the word ""effect"" is"
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,"

The sentence ""The sentence ""The cake is too sweet"" is","

The sentence after the comma is the effect of the other."
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,"

The sentence ""Jimmy took the last piece of cake."" is the","

The sentence without the comma is the effect of the comma."
