,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False,"

The child started crying.","

The child's crying caused them to hurt their knee."
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True,"

The child started crying.

The child hurt their knee.","

The child started crying because they hurt their knee."
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False,"

The sentence ""I washed the car"" caused the other sentence.","

The sentence is ""I washed the car."""
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True,"

The sentence ""My car got dirty"" caused the other.","

The sentence ""I washed the car"" is the effect of the other sentence ""My car"
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False,"

The sentence ""Someone fainted"" caused the other.","

The person who fainted was taken to the hospital."
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True,"

The sentence ""Someone called 911"" caused the other.","

The person who called 911 may have saved the person who fainted."
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False,"

The man accidently pushed the vase off a counter.","

The man accidently pushed the vase off a counter.

The effect of the"
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True,"

The man accidently pushed the vase off a counter.","

The man accidently pushed the vase off a counter."
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False,"

The sentence ""The woman who was walking on the street opened her umbrella."" caused the other","

The woman who was walking on the street opened her umbrella.

The effect of the"
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True,"

The sentence ""It started raining"" caused the other sentence.","

The woman who was walking on the street opened her umbrella."
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False,"

The boy lifted his eyes from the book.","

The boy lifted his eyes from the book.

The noise made the boy lift his"
11,The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True,"

The boy lifted his eyes from the book.

There was a loud noise.","

The boy lifted his eyes from the book.

The noise made the boy lift his"
12,The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False,"

The girl had a nightmare.

The girl woke up covered in cold sweat.","

The girl had a nightmare.

The girl woke up covered in cold sweat."
13,The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True,"

The girl woke up covered in cold sweat.

The nightmare caused the girl to wake","

The girl woke up covered in cold sweat.

The girl's nightmare caused her to"
14,It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False,"

The driver turned the wipers on.

It started raining.","

The driver turned the wipers on.

The wipers were turned on by the"
15,The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True,"

The driver turned the wipers on.","

The wipers turned on. It started raining."
16,A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False,"

A watermelon exploded.

A man was covered in sticky red goo.","

A watermelon exploded.

A man was covered in sticky red goo."
17,A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True,"

The sentence that caused the other sentence is ""A watermelon exploded.""","

A watermelon exploded.

The man was covered in sticky red goo."
18,She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False,"

The sentence ""She went to the store and bought toilet paper"" caused the other sentence.","

The sentence ""She went to the store and bought toilet paper"" is the effect of the"
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True,"

The sentence ""She went to the store and bought toilet paper."" caused the other sentence.","

The sentence is ""She went to the store and bought toilet paper."""
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False,"

The sentence ""The dinosaurs became extinct"" caused the other sentence.","

A large object hit the Earth, causing the dinosaurs to become extinct."
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True,"

A large object hit the Earth.

The dinosaurs became extinct.","

The large object hit the Earth is the effect of the dinosaurs becoming extinct."
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False,"

The sentence ""The soda went flat"" caused the other.","

The sentence is not a direct effect of the other."
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True,"

The sentence ""The bottle was left open"" caused the other.","

The sentence is ""The bottle was left open."""
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False,"

The laptop charger was plugged in by George.","

George plugged the laptop charger in.

The laptop charger was plugged in by George."
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True,"

The laptop ran out of battery.","

The laptop ran out of battery."
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False,"

The curtains were opened.

Sunlight filled the room.","

The sunlight filled the room."
