prompts,correct_answers,cause_answers,effect_answers,cause_answers_ex_switched,effect_answers_ex_switched
The child hurt their knee. The child started crying.,The child hurt their knee.,"

The child started crying when they saw the other child.","

The child started crying.", The child started crying., The child started crying.
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The child started crying when they hit their knee.", The child started crying., The child started crying. The child hurt their knee., The child started crying.
My car got dirty. I washed the car.,My car got dirty.,"

The child started crying.","

The car was clean. I washed the car.","

The car was clean. I washed the car.","

The child started crying."
I washed the car. My car got dirty.,My car got dirty.,"

The child started crying.","

The car got dirty.","

The car got dirty.","
The car got dirty."
Someone fainted. Someone called 911.,Someone fainted.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying.","

The child started crying."
Someone called 911. Someone fainted.,Someone fainted.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying.","

The child started crying."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

The child started crying.","

The vase shattered on the floor.","

The vase shattered on the floor.","

The man accidently pushed the vase off a counter. The"
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"

The vase shattered on the floor. A man accidently pushed","

The vase shattered on the floor. A man accidently pushed","

The vase shattered on the floor. A man accidently pushed","

The vase shattered on the floor. A man accidently pushed"
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella."
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"

The woman who was walking on the street opened her umbrella. It","

The woman who was walking on the street opened her umbrella. It","

The woman who was walking on the street opened her umbrella. It","

The woman who was walking on the street opened her umbrella. It"
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"

The child started crying.","

The boy lifted his eyes from the book.","

There was a loud noise. The boy lifted his eyes from the","

The boy lifted his eyes from the book."
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"

The boy lifted his eyes from the book. There was a loud","

The boy lifted his eyes from the book. There was a loud","

There was a loud noise.","

The boy lifted his eyes from the book. There was a loud"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"

The girl had a nightmare. The girl woke up covered in cold", The girl had a nightmare and woke up covered in cold sweat., The girl had a nightmare. The girl woke up covered in cold sweat.,"

The girl had a nightmare. The girl woke up covered in cold"
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"

The girl woke up covered in cold sweat. The girl had a", The girl had a nightmare., The girl had a nightmare.,"
The girl woke up covered in cold sweat. The girl had a nightmare"
It started raining. The driver turned the wipers on.,It started raining.,"

The child started crying when they saw the rain.","

The driver turned the wipers on.","

The driver turned the wipers on.","

The driver turned the wipers on."
The driver turned the wipers on. It started raining.,It started raining.,"

The driver turned the wipers on. It started raining.","

The driver turned the wipers on. It started raining.","

The driver turned the wipers on. It started raining.","

The driver turned the wipers on. It started raining."
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"

The child started crying.","

The watermelon exploded.","

The watermelon exploded.","

The child started crying."
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The child started crying when they saw the man covered in sticky red","

The man covered in sticky red goo was covered in sticky red","

The man was covered in sticky red goo.","

The man was covered in sticky red goo. A watermelon"
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying."
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying."
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"

The dinosaurs became extinct.","

The dinosaurs died.","

The dinosaurs became extinct.","

The child started crying."
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"

The dinosaurs became extinct.","

The dinosaurs became extinct.","

The large object hit the Earth.","

The dinosaurs became extinct."
The bottle was left open. The soda went flat.,The bottle was left open.,"

The bottle was left open. The soda went flat.","
The soda went flat.","
The soda went flat.","
The child hurt their knee."
The soda went flat. The bottle was left open.,The bottle was left open.,"

The child started crying.","
The bottle was left open.","

The bottle was left open.","
The child hurt their knee."
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in"
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"

The laptop ran out of battery.","

The laptop ran out of battery.","

The laptop ran out of battery.","

The laptop ran out of battery."
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"

The child started crying.","

The curtains were opened. Sunlight filled the room.","

The curtains were opened. Sunlight filled the room.","
The sun shone in the sky."
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"

The child started crying when they saw the sunlight filling the room.","

The curtains were opened.","

The child started crying.","

The child started crying."
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The insect pollinated the tomato flowers.","

The child started crying."
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The insect pollinated the tomato flowers.","

The child started crying."
