,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green," the blue ball
The blue ball hit the green ball. The green ball hit the white ball"," the blue ball
The red ball hit the green ball. The green ball hit the purple ball"," the blue ball
The blue ball hit the red ball. The red ball hit the green ball"
1,The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green," the red ball
The red ball hit the green ball. The blue ball hit the red ball"," the green ball
The blue ball hit the purple ball. The purple ball hit the blue ball"," the red ball
The red ball hit the green ball. The blue ball hit the white ball"
2,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown," the blue ball
The blue ball hit the red ball. The red ball hit the green ball"," the blue ball
The purple ball hit the black ball. The blue ball hit the purple ball"," the red ball
The purple ball hit the white ball. The green ball hit the purple ball"
3,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown," the red ball
The green ball hit the purple ball. The purple ball hit the black ball"," the blue ball
The red ball hit the green ball. The green ball hit the black ball"," the red ball
The blue ball hit the purple ball. The purple ball hit the black ball"
4,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple," the blue ball
The red ball hit the brown ball. The blue ball hit the red ball"," the blue ball
The blue ball hit the red ball. The red ball hit the purple ball"," the white ball
The black ball hit the white ball. The purple ball hit the black ball"
5,The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple," the red ball
The green ball hit the black ball. The black ball hit the white ball"," the red ball
The red ball hit the purple ball. The blue ball hit the red ball"," the purple ball
The blue ball hit the red ball. The red ball hit the green ball"
6,The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black," the blue ball
The blue ball hit the red ball. The red ball hit the black ball"," the blue ball
The purple ball hit the black ball. The red ball hit the purple ball"," the black ball
The green ball hit the purple ball. The purple ball hit the white ball"
7,The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black," the red ball
The blue ball hit the red ball. The red ball hit the purple ball"," the red ball
The green ball hit the black ball. The blue ball hit the green ball"," the blue ball
The purple ball hit the black ball. The black ball hit the white ball"
8,The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white," the blue ball
The purple ball hit the black ball. The black ball hit the purple ball"," the blue ball
The blue ball hit the red ball. The red ball hit the white ball"," the white ball
The purple ball hit the black ball. The brown ball hit the purple ball"
9,The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white," the red ball
The red ball hit the purple ball. The purple ball hit the white ball"," the red ball
The green ball hit the purple ball. The purple ball hit the white ball"," the white ball
The red ball hit the green ball. The blue ball hit the red ball"
10,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball fell in the hole.,False,blue,green,brown," the blue ball
The blue ball hit the green ball. The green ball hit the purple ball"," the green ball
The red ball hit the white ball. The white ball hit the black ball"," the green ball
The purple ball hit the white ball. The blue ball hit the purple ball"
11,The green ball hit the brown ball. The blue ball hit the green ball. The brown ball fell in the hole.,True,blue,green,brown," the green ball
The black ball hit the purple ball. The white ball hit the black ball"," the green ball
The purple ball hit the black ball. The black ball hit the white ball"," the blue ball
The red ball hit the purple ball. The purple ball hit the white ball"
12,The blue ball hit the green ball. The green ball hit the purple ball. The purple ball fell in the hole.,False,blue,green,purple," the blue ball
The purple ball hit the black ball. The black ball hit the purple ball"," the green ball
The blue ball hit the green ball. The green ball hit the purple ball"," the black ball
The purple ball hit the black ball. The blue ball hit the green ball"
13,The green ball hit the purple ball. The blue ball hit the green ball. The purple ball fell in the hole.,True,blue,green,purple," the green ball
The black ball hit the white ball. The purple ball hit the black ball"," the green ball
The green ball hit the purple ball. The blue ball hit the green ball"," the purple ball
The red ball hit the blue ball. The blue ball hit the green ball"
14,The blue ball hit the green ball. The green ball hit the black ball. The black ball fell in the hole.,False,blue,green,black," the blue ball
The purple ball hit the black ball. The purple ball hit the white ball"," the blue ball
The black ball hit the white ball. The purple ball hit the black ball"," the black ball
The green ball hit the purple ball. The purple ball hit the black ball"
15,The green ball hit the black ball. The blue ball hit the green ball. The black ball fell in the hole.,True,blue,green,black," the green ball
The black ball hit the white ball. The red ball hit the black ball"," the green ball
The green ball hit the black ball. The blue ball hit the green ball"," the black ball
The purple ball hit the white ball. The red ball hit the purple ball"
16,The blue ball hit the green ball. The green ball hit the white ball. The white ball fell in the hole.,False,blue,green,white," the blue ball
The blue ball hit the green ball. The green ball hit the white ball"," the blue ball
The purple ball hit the white ball. The red ball hit the purple ball"," the white ball
The purple ball hit the black ball. The black ball hit the white ball"
17,The green ball hit the white ball. The blue ball hit the green ball. The white ball fell in the hole.,True,blue,green,white," the green ball
The green ball hit the white ball. The blue ball hit the green ball"," the green ball
The blue ball hit the purple ball. The purple ball hit the white ball"," the white ball
The red ball hit the green ball. The purple ball hit the blue ball"
18,The blue ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,False,blue,brown,purple," the blue ball
The purple ball hit the black ball. The blue ball hit the purple ball"," the blue ball
The red ball hit the green ball. The green ball hit the black ball"," the black ball
The green ball hit the black ball. The blue ball hit the green ball"
19,The brown ball hit the purple ball. The blue ball hit the brown ball. The purple ball fell in the hole.,True,blue,brown,purple," the blue ball
The blue ball hit the purple ball. The purple ball hit the white ball"," the purple ball
The purple ball hit the blue ball. The blue ball hit the purple ball"," the white ball
The blue ball hit the purple ball. The green ball hit the blue ball"
20,The blue ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,False,blue,brown,black," the blue ball
The blue ball hit the purple ball. The purple ball hit the white ball"," the blue ball
The blue ball hit the purple ball. The purple ball hit the black ball"," the black ball
The purple ball hit the black ball. The green ball hit the purple ball"
21,The brown ball hit the black ball. The blue ball hit the brown ball. The black ball fell in the hole.,True,blue,brown,black," the blue ball
The black ball hit the white ball. The white ball fell in the hole"," the brown ball
The blue ball hit the purple ball. The purple ball hit the black ball"," the blue ball
The brown ball hit the white ball. The red ball hit the black ball"
22,The blue ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,blue,brown,white," the blue ball
The blue ball hit the brown ball. The purple ball hit the white ball"," the blue ball
The purple ball hit the white ball. The white ball fell in the hole"," the white ball
The blue ball hit the purple ball. The purple ball hit the black ball"
23,The brown ball hit the white ball. The blue ball hit the brown ball. The white ball fell in the hole.,True,blue,brown,white," the blue ball
The green ball hit the black ball. The red ball hit the green ball"," the purple ball
The red ball hit the purple ball. The blue ball hit the red ball"," the white ball
The red ball hit the blue ball. The blue ball hit the red ball"
24,The blue ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,blue,purple,black," the blue ball
The blue ball hit the purple ball. The purple ball hit the black ball"," the blue ball
The purple ball hit the black ball. The black ball hit the white ball"," the black ball
The green ball hit the purple ball. The blue ball hit the green ball"
25,The purple ball hit the black ball. The blue ball hit the purple ball. The black ball fell in the hole.,True,blue,purple,black," the blue ball
The purple ball hit the black ball. The blue ball hit the purple ball"," the purple ball
The green ball hit the purple ball. The red ball hit the green ball"," the black ball
The purple ball hit the white ball. The blue ball hit the purple ball"
26,The blue ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,blue,purple,white," the blue ball
The green ball hit the brown ball. The brown ball hit the purple ball"," the purple ball
The green ball hit the purple ball. The blue ball hit the green ball"," the white ball
The green ball hit the purple ball. The red ball hit the green ball"
27,The purple ball hit the white ball. The blue ball hit the purple ball. The white ball fell in the hole.,True,blue,purple,white," the purple ball
The purple ball hit the white ball. The blue ball hit the purple ball"," the purple ball
The green ball hit the black ball. The blue ball hit the green ball"," the white ball
The purple ball hit the white ball. The blue ball hit the purple ball"
