prompts,correct_answers,answers
The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,"__________
Question: Which sentence gets cause and effect right?
Answer: __________
"
The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,"__________
Question: Which sentence gets cause and effect right?
Answer: __________
"
I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty., cause and effect are the same thing. Cause and effect are the same thing. Cause and effect
My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.," cause and effect.
Question: Which sentence is the most common in English?
Answer:"
Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,"_________
Question: Which sentence gets cause and effect right?
Answer: _________
"
Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,"_________
Question: Which sentence gets cause and effect right?
Answer: _________
"
The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"__________
Question: Which sentence gets cause and effect right?
Answer: __________
"
A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"__________.
Question: Which sentence gets cause and effect right?
Answer: __________"
The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,"_________
Question: Which sentence gets cause and effect right?
Answer: _________
"
It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,"_________
Question: Which sentence gets cause and effect right?
Answer: _________
"
The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.," ""The boy lifted his eyes from the book because there was a loud noise.""
Question:"
There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.," The boy lifted his eyes from the book because there was a loud noise.
Question: Which"
The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,"__________
Question: Which sentence gets cause and effect right?
Answer: __________
"
The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,"_________
Question: Which sentence gets cause and effect right?
Answer: _________
"
The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,"__________
Question: Which sentence gets cause and effect right?
Answer: __________
"
