prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee.,"

The child's crying caused them to hurt their knee.","

The child started crying is the effect of the child hurting their knee."
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The child started crying because they hurt their knee.","

The child started crying because they hurt their knee."
My car got dirty. I washed the car.,My car got dirty.,"

The sentence ""I washed the car"" is the cause of the other sentence ""my car got dirty.""","

The sentence ""I washed the car"" is the effect of the other sentence ""my car got dirty""."
I washed the car. My car got dirty.,My car got dirty.,"

The sentence ""I washed the car"" is the cause of the other sentence ""My car got dirty.""","

The sentence ""I washed the car"" is the effect of the other sentence ""My car got dirty."""
Someone fainted. Someone called 911.,Someone fainted.,"

The sentence ""Someone fainted"" is the cause of the other sentence.","

The sentence ""Someone fainted"" is the effect of the other."
Someone called 911. Someone fainted.,Someone fainted.,"

The sentence that someone called 911 is the cause of the other sentence.","

The sentence ""Someone called 911"" is the effect of the other."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

The sentence ""The vase shattered on the floor"" is the cause of the other.","

The sentence ""The vase shattered on the floor"" is the effect of the other."
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"

The sentence ""A man accidently pushed the vase off a counter"" is the cause of the other sentence ""","

The sentence ""A man accidently pushed the vase off a counter"" is the effect of the other sentence """
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"

The sentence ""The woman who was walking on the street opened her umbrella"" is the cause of the other sentence.","

The sentence ""The woman who was walking on the street opened her umbrella."" is the effect of the other."
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"

The sentence ""The woman who was walking on the street opened her umbrella"" is the cause of the other sentence ""","

The sentence ""The woman who was walking on the street opened her umbrella."" is the effect of the other."
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"

The sentence ""The boy lifted his eyes from the book"" is the cause of the other sentence.","

The sentence ""The boy lifted his eyes from the book"" is the effect of the other sentence."
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"

The sentence that is the cause of the other is ""The boy lifted his eyes from the book.""","

The sentence that is the effect of the other is ""The boy lifted his eyes from the book."""
