prompts,correct_answers,answers
The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee. The child hurt their knee because they"
The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,"

The child hurt their knee because the child started crying. The child started crying because the child"
I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,"

The sentence ""I washed the car because my car got dirty"" gets cause and effect right"
My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,"

The sentence ""I washed the car because my car got dirty"" gets cause and effect right"
Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,"

The cause of the fainting was because the person called 911."
Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,"

The cause of the fainting was because someone called 911."
The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"
The vase shattered on the floor because a man accidently pushed the vase off a counter"
A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"
The man accidently pushed the vase off a counter because the vase shattered on the floor"
The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,"
The woman who was walking on the street opened her umbrella because it started raining. It started raining"
It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,"
The woman who was walking on the street opened her umbrella because it started raining."
The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.,"

The boy lifted his eyes from the book because there was a loud noise. There was a"
There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.,"

The boy lifted his eyes from the book because there was a loud noise."
The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The girl woke up covered in cold sweat because the girl had a nightmare. The girl's"
The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The sentence ""The girl had a nightmare because the girl woke up covered in cold sweat."""
The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,"
The sentence ""The driver turned the wipers on because it started raining."" gets cause and effect"
It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,"
The driver turned the wipers on because it started raining."
A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded.,"
The sentence ""A man was covered in sticky red goo because a watermelon exploded"" gets"
A watermelon exploded because a man was covered in sticky red goo. A man was covered in sticky red goo because a watermelon exploded.,A man was covered in sticky red goo because a watermelon exploded.,"

The sentence ""A watermelon exploded because a man was covered in sticky red goo."""
She went to the store and bought toilet paper because she noticed that she was out of toilet paper. She noticed that she was out of toilet paper because she went to the store and bought toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The sentence ""The sentence ""The store bought toilet paper because she noticed that she was out"
She noticed that she was out of toilet paper because she went to the store and bought toilet paper. She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The sentence ""I went to the store and bought toilet paper"" gets cause and effect right"
The dinosaurs became extinct because a large object hit the Earth. A large object hit the Earth because the dinosaurs became extinct.,The dinosaurs became extinct because a large object hit the Earth.,"

The large object hit the Earth because the dinosaurs became extinct."
A large object hit the Earth because the dinosaurs became extinct. The dinosaurs became extinct because a large object hit the Earth.,The dinosaurs became extinct because a large object hit the Earth.,"

The large object hit the Earth because the dinosaurs became extinct."
The soda went flat because the bottle was left open. The bottle was left open because the soda went flat.,The soda went flat because the bottle was left open.,"

The soda went flat because the bottle was left open."
The bottle was left open because the soda went flat. The soda went flat because the bottle was left open.,The soda went flat because the bottle was left open.,"

The bottle was left open because the soda went flat."
George plugged the laptop charger in because the laptop ran out of battery. The laptop ran out of battery because George plugged the laptop charger in.,George plugged the laptop charger in because the laptop ran out of battery.,"

The laptop ran out of battery because George plugged the laptop charger in."
The laptop ran out of battery because George plugged the laptop charger in. George plugged the laptop charger in because the laptop ran out of battery.,George plugged the laptop charger in because the laptop ran out of battery.,"

The laptop ran out of battery because George plugged the laptop charger in."
Sunlight filled the room because the curtains were opened. The curtains were opened because sunlight filled the room.,Sunlight filled the room because the curtains were opened.,"

The curtains were opened because sunlight filled the room."
The curtains were opened because sunlight filled the room. Sunlight filled the room because the curtains were opened.,Sunlight filled the room because the curtains were opened.,"

The curtains were opened because sunlight filled the room. Sunlight filled the room because the curtains"
Tomatoes grew on the vine because the insect pollinated the tomato flowers. The insect pollinated the tomato flowers because tomatoes grew on the vine.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The sentence ""The insect pollinated the tomato flowers because tomatoes grew on the vine."" gets"
The insect pollinated the tomato flowers because tomatoes grew on the vine. Tomatoes grew on the vine because the insect pollinated the tomato flowers.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The insect pollinated the tomato flowers because tomatoes grew on the vine."
The driver hit the brakes because the girl stepped onto the street. The girl stepped onto the street because the driver hit the brakes.,The driver hit the brakes because the girl stepped onto the street.,"
The driver hit the brakes because the girl stepped onto the street. The girl stepped onto the street"
The girl stepped onto the street because the driver hit the brakes. The driver hit the brakes because the girl stepped onto the street.,The driver hit the brakes because the girl stepped onto the street.,"
The girl stepped onto the street because the driver hit the brakes. The driver hit the brakes because"
The performer ran off the stage because there was a wardrobe malfunction. There was a wardrobe malfunction because the performer ran off the stage.,The performer ran off the stage because there was a wardrobe malfunction.,"

The performer ran off the stage because there was a wardrobe malfunction. This caused the audience to"
There was a wardrobe malfunction because the performer ran off the stage. The performer ran off the stage because there was a wardrobe malfunction.,The performer ran off the stage because there was a wardrobe malfunction.,"

The performer ran off the stage because there was a wardrobe malfunction."
"The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine. A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The ""fasten seatbelts"" light caused the bird to hit the engine."
"A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light. The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The ""fasten seatbelts"" light turned on because the pilot turned on the """
The man sipped the milk and spit it out because the milk was left outside the fridge over night. The milk was left outside the fridge over night because the man sipped the milk and spit it out.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The man spat out the milk because he sipped it and it left outside the fridge over"
The milk was left outside the fridge over night because the man sipped the milk and spit it out. The man sipped the milk and spit it out because the milk was left outside the fridge over night.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The sentence ""The milk was left outside the fridge over night because the man sipped the"
The man turned down the music volume because the man couldn't hear what the woman was saying. The man couldn't hear what the woman was saying because the man turned down the music volume.,The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The man turned down the music volume because the man couldn't hear what the woman was saying"
The man couldn't hear what the woman was saying because the man turned down the music volume. The man turned down the music volume because the man couldn't hear what the woman was saying.,The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The man turned down the music volume because the man couldn't hear what the woman was saying"
The meat spoiled because the power was out for days. The power was out for days because the meat spoiled.,The meat spoiled because the power was out for days.,"

The meat spoiled because the power was out for days. The power was out for days because"
The power was out for days because the meat spoiled. The meat spoiled because the power was out for days.,The meat spoiled because the power was out for days.,"

The power was out for days because the meat spoiled. The meat spoiled because the power was"
A flower grew because the gardener planted a seed. The gardener planted a seed because a flower grew.,A flower grew because the gardener planted a seed.,"
The gardener planted a seed because a flower grew."
The gardener planted a seed because a flower grew. A flower grew because the gardener planted a seed.,A flower grew because the gardener planted a seed.,"

The gardener planted a seed because a flower grew. A flower grew because the gardener"
The team won the championship because the team won the game. The team won the game because the team won the championship.,The team won the championship because the team won the game.,"

The team won the championship because the team won the game."
The team won the game because the team won the championship. The team won the championship because the team won the game.,The team won the championship because the team won the game.,"

The team won the game because the team won the championship."
The man climbed in through the window because the door was locked. The door was locked because the man climbed in through the window.,The man climbed in through the window because the door was locked.,"

The man climbed in through the window because the door was locked. The door was locked because"
The door was locked because the man climbed in through the window. The man climbed in through the window because the door was locked.,The man climbed in through the window because the door was locked.,"

The man climbed in through the window because the door was locked."
The ship capsized because the wind blew strong. The wind blew strong because the ship capsized.,The ship capsized because the wind blew strong.,"

The wind blew strong because the ship capsized."
The wind blew strong because the ship capsized. The ship capsized because the wind blew strong.,The ship capsized because the wind blew strong.,"

The wind blew strong because the ship capsized. The ship capsized because the wind blew"
The man went to jail because the man robbed a gas station. The man robbed a gas station because the man went to jail.,The man went to jail because the man robbed a gas station.,"

The man went to jail because the man robbed a gas station. The man robbed a gas"
The man robbed a gas station because the man went to jail. The man went to jail because the man robbed a gas station.,The man went to jail because the man robbed a gas station.,"

The man robbed a gas station because the man went to jail. The man went to jail"
Acme paid Jill's legal fees because Jill won the lawsuit against Acme. Jill won the lawsuit against Acme because acme paid Jill's legal fees.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence ""The sentence ""The sentence gets cause and effect right"" gets cause and effect"
Jill won the lawsuit against Acme because acme paid Jill's legal fees. Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence ""The sentence ""The sentence gets cause and effect right"" gets cause and effect"
