prompts,correct_answers,answers
The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,"

The car got dirty because i washed the car."
My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,"

The car got dirty because I washed the car."
Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,"

The call to 911 was because someone fainted."
Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,"

The sentence gets cause and effect right."
The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The vase shattered on the floor because a man accidentally pushed it off a counter."
A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The vase shattered on the floor because the man pushed the vase off a counter."
The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,"

The woman who was walking on the street opened her umbrella because it started raining."
It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,"

The woman who was walking on the street opened her umbrella because it started raining."
The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.,"

The boy lifted his eyes from the book because the book was falling off the shelf."
There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.,"

The boy lifted his eyes from the book because it was
cause and effect."
The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The girl woke up covered in cold sweat because the girl had a nightmare."
The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The girl woke up covered in cold sweat because the girl had a nightmare."
The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,"

The wipers turned on because the driver turned them on."
It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,"

The driver turned the wipers on because it started raining."
A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded.,"

The goo covered the man's body right when he exploded."
A watermelon exploded because a man was covered in sticky red goo. A man was covered in sticky red goo because a watermelon exploded.,A man was covered in sticky red goo because a watermelon exploded.,"

The goo started the explosion."
She went to the store and bought toilet paper because she noticed that she was out of toilet paper. She noticed that she was out of toilet paper because she went to the store and bought toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The effect of the sentence is that the person goes to the store and buys toilet paper."
She noticed that she was out of toilet paper because she went to the store and bought toilet paper. She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The sentence gets cause and effect right."
