,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect,responses_cause_ss,responses_effect_ss
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False," The child hurt their knee.
The dog barked for hours. The cat didn't want to", The child hurt their knee., The child hurt their knee.," The child hurt their knee.

The other sentence is the effect of the first."
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True, The child hurt their knee.," The child started crying.
The pilot turned on the ""fasten seatbelts"" light.", The child started crying., The child hurt their knee.
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False, My car got dirty. I washed the car., I washed the car., I washed the car., My car got dirty.
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True, My car got dirty., I washed the car., I washed the car., My car got dirty.
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False, Someone fainted., Someone fainted. Someone called 911., Someone called 911.," Someone fainted.
The party was cancelled."
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True, Someone called 911., Someone called 911., Someone called 911., Someone called 911.
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False, A man accidently pushed the vase off a counter., A man accidently pushed the vase off a counter., The man accidently pushed the vase off a counter.," A man accidently pushed the vase off a counter.
A woman was walking her dog."
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True, A man accidently pushed the vase off a counter., The vase shattered on the floor., The vase shattered on the floor., A man accidently pushed the vase off a counter.
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False, It started raining.," The woman who was walking on the street opened her umbrella.
The woman who was walking on the", It started raining., It started raining.
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True, It started raining., The woman who was walking on the street opened her umbrella., The woman who was walking on the street opened her umbrella., It started raining.
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False, There was a loud noise., There was a loud noise., There was a loud noise., There was a loud noise.
