prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee.,"

The child hurt their knee. The child started crying.","

The child hurt their knee. The child started crying."
The child started crying. The child hurt their knee.,The child hurt their knee.,"

The child started crying. The child hurt their knee.","

The child started crying. The child hurt their knee."
My car got dirty. I washed the car.,My car got dirty.,"

The sentence ""I washed the car."" is the cause of the","

The sentence after ""I washed the car."" is the effect of"
I washed the car. My car got dirty.,My car got dirty.,"

The car got dirty.","

The sentence after I washed the car is the effect of the other"
Someone fainted. Someone called 911.,Someone fainted.,"

The sentence that caused the other is ""Someone fainted.""","

The sentence that is the effect of the other is ""Someone f"
Someone called 911. Someone fainted.,Someone fainted.,"

The 911 caller fainted.","

The effect of the other is that someone called 911."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,"

The man is the cause of the vase shattering.","

The effect of the other is the man accidently pushed the v"
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,"

The vase shattered on the floor.","

The vase shattered on the floor."
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,"

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella."
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,"

The woman who was walking on the street opened her umbrella.","

The woman who was walking on the street opened her umbrella."
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,"

The boy lifted his eyes from the book.","

The boy lifted his eyes from the book."
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,"

The boy lifted his eyes from the book. There was a loud","

The boy lifted his eyes from the book. There was a loud"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"

The girl had a nightmare.","

The girl had a nightmare. The girl woke up covered in cold"
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"

The girl woke up covered in cold sweat. The girl had a","

The girl woke up covered in cold sweat. The girl had a"
It started raining. The driver turned the wipers on.,It started raining.,"

The driver turned the wipers on.","

The driver turned the wipers on."
The driver turned the wipers on. It started raining.,It started raining.,"

The driver turned the wipers on.","

The driver turned the wipers on. It started raining."
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"

The man is covered in sticky red goo because the watermelon","

The man was covered in sticky red goo is the effect of"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The man was covered in sticky red goo. The watermelon","

The man was covered in sticky red goo. The watermelon"
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""She noticed that she was out of toilet paper.","

The sentence after the one in which the woman buys toilet paper is"
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""She went to the store and bought toilet paper""","

The sentence after the one in which the toilet paper is bought is"
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"

The large object hit the Earth. The dinosaurs became extinct.","

The large object hit the Earth. The dinosaurs became extinct."
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"

The dinosaurs became extinct because a large object hit the Earth.","

The dinosaurs became extinct as a result of the large object hitting the"
The bottle was left open. The soda went flat.,The bottle was left open.,"

The bottle was left open. The soda went flat.","

The sentence that is the effect of the other is ""The soda"
The soda went flat. The bottle was left open.,The bottle was left open.,"

The soda went flat. The bottle was left open.","

The soda went flat. The bottle was left open."
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in"
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"

The laptop ran out of battery.","

The laptop ran out of battery."
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"

The curtains were opened. This caused the light to enter the room","

The curtains were opened. Sunlight filled the room."
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"

The curtains were opened.","

The curtains are opened."
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"

The insect pollinated the tomato flowers.","

The insect pollinated the tomato flowers."
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"

The insect pollinated the tomato flowers.","

The insect pollinated the tomato flowers."
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"

The girl stepped onto the street.","

The girl stepped onto the street. The driver hit the brakes."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"

The driver hit the brakes.","

The driver hit the brakes. The girl stepped onto the street."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"

The performer ran off the stage.","

The performer ran off the stage."
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"

The performer ran off the stage. There was a wardrobe malfunction.","

The performer ran off the stage. There was a wardrobe malfunction."
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"

The bird hit the engine. The pilot turned on the ""fast","

The sentence that is the effect of the other is ""The bird"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"

The bird hit the engine.","

The pilot turned on the ""fasten seatbelts"" light"
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,"

The man sipped the milk and spat it out.","

The man sipped the milk and spat it out."
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,"

The man sipped the milk and spit it out.","

The man sipped the milk and spat it out."
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume.","

The man turned down the music volume."
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume.","

The man turned down the music volume. The woman stopped talking."
The power was out for days. The meat spoiled.,The power was out for days.,"

The power was out for days. The meat spoiled.","

The power was out for days. The meat spoiled."
The meat spoiled. The power was out for days.,The power was out for days.,"

The meat spoiled. The power was out for days.","

The meat spoiled. The power was out for days."
The gardener planted a seed. A flower grew.,The gardener planted a seed.,"

The gardener planted a seed. The flower grew.","

The gardener planted a seed. A flower grew."
A flower grew. The gardener planted a seed.,The gardener planted a seed.,"

The gardener planted a seed.","

The flower grew."
The team won the game. The team won the championship.,The team won the game.,"

The team won the game. The team won the championship.","

The team won the game."
The team won the championship. The team won the game.,The team won the game.,"

The team won the championship.","

The team won the championship."
The door was locked. The man climbed in through the window.,The door was locked.,"

The man climbed in through the window.","

The man climbed in through the window."
The man climbed in through the window. The door was locked.,The door was locked.,"

The man climbed in through the window.","

The man climbed in through the window."
The wind blew strong. The ship capsized.,The wind blew strong.,"

The wind blew strong. The ship capsized.","

The wind blew strong. The ship capsized."
The ship capsized. The wind blew strong.,The wind blew strong.,"

The wind blew strong.","

The sentence after the ship capsized is the effect of the other"
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,"

The man robbed a gas station. The man went to jail.","

The man robbed a gas station. The man went to jail."
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,"

The man went to jail is the cause of the man robbed a","

The man went to jail."
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,"

The sentence that is the cause of the other is ""Acme","

The sentence after ""won"" is the effect of the other sentence"
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,"

The sentence ""Acme paid Jill's legal fees."" is the","

The sentence after ""paid"" is the effect of the other sentence"
There was a snowstorm. School was cancelled.,There was a snowstorm.,"

The snowstorm caused the school to be cancelled.","

The sentence after the snowstorm is the effect of the other."
School was cancelled. There was a snowstorm.,There was a snowstorm.,"

The school was cancelled because of the snowstorm.","

School was cancelled. There was a snowstorm."
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord because they noticed mold on the bathroom ceiling","

The tenants contacted their landlord about the mold on the bathroom ceiling."
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord because they noticed mold on the bathroom ceiling","

The tenants contacted their landlord. The tenants noticed mold on the bathroom"
I studied hard. I got an A on the test.,I studied hard.,"

The sentence ""I studied hard"" is the cause of the other","

The sentence ""I studied hard. I got an A on the"
I got an A on the test. I studied hard.,I studied hard.,"

The sentence ""I got an A on the test"" is the","

The sentence ""I got an A on the test"" is the"
The boy threw a rock. The window broke.,The boy threw a rock.,"

The boy threw a rock. The window broke.","

The boy threw a rock. The window broke."
The window broke. The boy threw a rock.,The boy threw a rock.,"

The window broke. The boy threw a rock.","

The window broke. The boy threw a rock."
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"
The driver ran a red light.","

The driver was pulled over and was fined."
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,"
The driver was pulled over and was fined. The driver ran a red","

The driver was pulled over and was fined. The driver ran a"
The girl skipped school. The girl got detention.,The girl skipped school.,"

The girl skipped school. The girl got detention.","

The girl skipped school. The girl got detention."
The girl got detention. The girl skipped school.,The girl skipped school.,"

The girl got detention. The girl skipped school.","

The girl got detention."
I flipped the switch. Light filled the room.,I flipped the switch.,"

The light is the cause of the other.","

The light is the effect of the switch being flipped."
Light filled the room. I flipped the switch.,I flipped the switch.,"

The light caused the door to open.","

The lightbulb is the effect of the switch."
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,"

The dog bit me.","

The dog bit me."
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,"

The dog bit me. I pulled the dog's tail.","

The dog bit me. I pulled the dog's tail."
School was on break. The family went on vacation.,School was on break.,"

The family went on vacation is the cause of the school being on","

The family went on vacation."
The family went on vacation. School was on break.,School was on break.,"

The family went on vacation. School was on break.","

The family went on vacation. School was on break."
The air conditioner broke. The family went to the beach.,The air conditioner broke.,"

The air conditioner broke. The family went to the beach.","

The family went to the beach. The air conditioner broke."
The family went to the beach. The air conditioner broke.,The air conditioner broke.,"

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke."
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,"

The girl had a fever. Mom gave her fever medicine.","

The girl had a fever. Mom gave her fever medicine."
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,"

The girl had a fever and Mom gave her fever medicine.","

The girl had a fever and was given fever medicine."
The bread was dry. We made French toast.,The bread was dry.,"

The bread was dry. We made French toast.","

The bread was dry. We made French toast."
We made French toast. The bread was dry.,The bread was dry.,"

The bread was dry.","

The effect of the other sentence is that the bread became dry."
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,"

The company's posted strong earnings caused the stock to go up.","

The company's stock went up."
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,"

The company's stock went up. The company's posted strong earnings","

The company's stock went up. The company's posted strong earnings"
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,"

The sentence ""I put my clothes in the washing machine"" is","

The sentence that is the effect of the other is ""My clothes"
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,"

The sentence ""I put my clothes in the washing machine"" is","

The sentence after ""put my clothes in the washing machine"" is"
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,"

The promotion is the cause of the celebration with their family.","

The sentence that is the effect of the other is ""My friend"
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,"

The promotion caused my friend's family to celebrate.","

The sentence that is the effect of the other is ""My friend"
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,"

The basketball player was shoved. The basketball player took a free throw","

The basketball player was shoved. The basketball player took a free throw"
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,"

The basketball player was shoved is the cause of the other.","

The basketball player was shoved. This is the effect of the other"
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,"

The sentence ""Alice didn't wake up. Alice missed her flight","

The sentence that is the effect of the other is ""Alice didn"
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,"

The sentence ""Alice didn't wake up"" is the cause of","

The sentence that is the effect of the other is ""Alice didn"
The floor was wet. The man sued.,The floor was wet.,"

The man sued.","

The man sued."
The man sued. The floor was wet.,The floor was wet.,"

The man sued. The floor was wet.","

The man sued. The floor was wet."
It rained. The picnic was cancelled.,It rained.,"

The picnic was cancelled because it rained.","

The picnic was cancelled."
The picnic was cancelled. It rained.,It rained.,"

The picnic was cancelled.","

The picnic was cancelled."
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,"

The girl didn't wear her sweater. The girl caught a cold","

The girl didn't wear her sweater. She caught a cold."
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,"

The girl caught a cold. The girl didn't wear her sweater","

The girl caught a cold."
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,"

The man got lost in the woods caused the search party to be","

The man got lost in the woods. A search party was assembled"
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,"

The man got lost in the woods caused the search party to be","

The man got lost in the woods."
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,"

The sentence ""Ted had a hangover"" is the cause of","

The sentence after Ted went out drinking is the effect of the other"
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,"

The sentence ""Ted went out drinking"" is the cause of the","

The sentence after Ted went out drinking is ""He felt terrible the"
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,"

The sentence ""Bob opened the jar and was frustrated."" is the","

The sentence after Bob opened the jar is the effect of the other"
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,"

The sentence ""Alice ate the last cookie"" is the cause of","

The sentence ""Alice ate the last cookie"" is the effect of"
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,"

The sentence ""Mom rinsed the tray"" is the cause","

The sentence after Jimmy took the last piece of cake is the effect"
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,"

The sentence ""Mom rinsed the tray."" is the cause","

The sentence Jimmy took the last piece of cake is the effect of"
