sequence,answer_cause,answer_effect,switched
The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False
The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True
My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False
I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True
Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False
Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True
It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False
The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True
The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False
The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True
The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False
Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True
The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False
The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True
The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False
A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True
The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False
The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True
The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False
The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True
The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False
The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True
There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False
School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True
I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False
I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True
The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False
The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True
The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False
The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True
I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False
Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True
School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False
The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True
The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False
The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True
The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False
We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True
