,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
0,The baz hit the fuu. The fuu hit the schleep. The schleep fell in the hole.,False,baz,fuu,schleep, the baz, the fuu, the schleep, the baz, the fuu, the schleep
1,The fuu hit the schleep. The baz hit the fuu. The schleep fell in the hole.,True,baz,fuu,schleep, the baz, the fuu, the schleep, the baz, the baz, the schleep
2,The baz hit the fuu. The fuu hit the blubb. The blubb fell in the hole.,False,baz,fuu,blubb, the baz, the fuu, the blubb, the baz, the fuu, the blubb
3,The fuu hit the blubb. The baz hit the fuu. The blubb fell in the hole.,True,baz,fuu,blubb, the baz, the fuu, the blubb, the baz, the fuu, the blubb
4,The baz hit the fuu. The fuu hit the dling. The dling fell in the hole.,False,baz,fuu,dling, the baz, the fuu, the dling, the baz, the fuu, the dling
5,The fuu hit the dling. The baz hit the fuu. The dling fell in the hole.,True,baz,fuu,dling, the baz, the fuu, the dling, the fuu, the fuu, the dling
6,The baz hit the fuu. The fuu hit the plomp. The plomp fell in the hole.,False,baz,fuu,plomp, the baz, the fuu, the plomp, the baz, the fuu, the plomp
7,The fuu hit the plomp. The baz hit the fuu. The plomp fell in the hole.,True,baz,fuu,plomp, the baz, the fuu, the plomp, the baz, the fuu, the plomp
8,The baz hit the fuu. The fuu hit the dinglebob. The dinglebob fell in the hole.,False,baz,fuu,dinglebob, the baz, the fuu, the dinglebob, the baz, the fuu, the dinglebob
9,The fuu hit the dinglebob. The baz hit the fuu. The dinglebob fell in the hole.,True,baz,fuu,dinglebob, the baz, the fuu, the dinglebob, the baz, the fuu, the dinglebob
10,The baz hit the schleep. The schleep hit the blubb. The blubb fell in the hole.,False,baz,schleep,blubb, the baz, the schleep, the blubb, the baz, the schleep, the blubb
11,The schleep hit the blubb. The baz hit the schleep. The blubb fell in the hole.,True,baz,schleep,blubb, the baz, the schleep, the blubb, the baz, the baz, the blubb
12,The baz hit the schleep. The schleep hit the dling. The dling fell in the hole.,False,baz,schleep,dling, the baz, the schleep, the dling, the baz, the schleep, the dling
13,The schleep hit the dling. The baz hit the schleep. The dling fell in the hole.,True,baz,schleep,dling, the baz, the schleep, the dling, the baz, the baz, the dling
14,The baz hit the schleep. The schleep hit the plomp. The plomp fell in the hole.,False,baz,schleep,plomp, the baz, the schleep, the plomp, the baz, the schleep, the plomp
15,The schleep hit the plomp. The baz hit the schleep. The plomp fell in the hole.,True,baz,schleep,plomp, the baz, the schleep, the plomp, the baz, the schleep, the plomp
16,The baz hit the schleep. The schleep hit the dinglebob. The dinglebob fell in the hole.,False,baz,schleep,dinglebob, the baz, the schleep, the dinglebob, the baz, the schleep, the dinglebob
17,The schleep hit the dinglebob. The baz hit the schleep. The dinglebob fell in the hole.,True,baz,schleep,dinglebob, the baz, the schleep, the dinglebob, the baz, the baz, the dinglebob
18,The baz hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,baz,blubb,dling, the baz, the blubb, the dling, the baz, the blubb, the dling
19,The blubb hit the dling. The baz hit the blubb. The dling fell in the hole.,True,baz,blubb,dling, the baz, the blubb, the dling, the baz, the blubb, the dling
20,The baz hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,baz,blubb,plomp, the baz, the plomp, the plomp, the baz, the blubb, the plomp
21,The blubb hit the plomp. The baz hit the blubb. The plomp fell in the hole.,True,baz,blubb,plomp, the baz, the blubb, the plomp, the baz, the blubb, the plomp
22,The baz hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,baz,blubb,dinglebob, the baz, the blubb, the dinglebob, the baz, the blubb, the dinglebob
23,The blubb hit the dinglebob. The baz hit the blubb. The dinglebob fell in the hole.,True,baz,blubb,dinglebob, the baz, the blubb, the dinglebob, the baz, the blubb, the dinglebob
24,The baz hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,baz,dling,plomp, the baz, the dling, the plomp, the baz, the dling, the plomp
25,The dling hit the plomp. The baz hit the dling. The plomp fell in the hole.,True,baz,dling,plomp, the baz, the dling, the plomp, the baz, the baz, the plomp
26,The baz hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,baz,dling,dinglebob, the baz, the dling, the dinglebob, the baz, the dling, the dinglebob
27,The dling hit the dinglebob. The baz hit the dling. The dinglebob fell in the hole.,True,baz,dling,dinglebob, the baz, the dling, the dinglebob, the baz, the dling, the dinglebob
28,The baz hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,baz,plomp,dinglebob, the baz, the plomp, the dinglebob, the baz, the plomp, the dinglebob
