,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final
0,The baz hit the fuu. The fuu hit the schleep. The schleep fell in the hole.,False,baz,fuu,schleep, the baz,"
The blubb","

the bla"
1,The fuu hit the schleep. The baz hit the fuu. The schleep fell in the hole.,True,baz,fuu,schleep,"
The baz hit the fuu.","

the plomp","

the dinglebob"
2,The baz hit the fuu. The fuu hit the blubb. The blubb fell in the hole.,False,baz,fuu,blubb,"

The baz hit the fuu. The fuu hit the blubb. The bl","

the blubb","

the dinglebob"
3,The fuu hit the blubb. The baz hit the fuu. The blubb fell in the hole.,True,baz,fuu,blubb,"
The schleep","

the plomp","
the plomp"
4,The baz hit the fuu. The fuu hit the bla. The bla fell in the hole.,False,baz,fuu,bla,"

The baz hit the fuu. The fuu hit the bla. The bl","

the schleep","
the plomp"
5,The fuu hit the bla. The baz hit the fuu. The bla fell in the hole.,True,baz,fuu,bla,"

the schleep","

the bla","

the dinglebob"
6,The baz hit the fuu. The fuu hit the plomp. The plomp fell in the hole.,False,baz,fuu,plomp,"
The baz hit the fuu. The fuu hit the plomp. The plomp","

the blubb","

the bla"
7,The fuu hit the plomp. The baz hit the fuu. The plomp fell in the hole.,True,baz,fuu,plomp,"

The schleep","

the blubb","
the dinglebob"
8,The baz hit the fuu. The fuu hit the dinglebob. The dinglebob fell in the hole.,False,baz,fuu,dinglebob,"
The baz hit the fuu. The fuu hit the dinglebob. The","
the schleep","

the plomp"
9,The fuu hit the dinglebob. The baz hit the fuu. The dinglebob fell in the hole.,True,baz,fuu,dinglebob,"

the schleep","

the plomp","

the bla"
10,The baz hit the schleep. The schleep hit the blubb. The blubb fell in the hole.,False,baz,schleep,blubb,"

The baz hit the schleep. The schleep hit the blubb. The bl","

the plomp","

the plomp"
11,The schleep hit the blubb. The baz hit the schleep. The blubb fell in the hole.,True,baz,schleep,blubb,"

The schleep hit the blubb. The baz hit the schleep. The bl","

the plomp","

the plomp"
12,The baz hit the schleep. The schleep hit the bla. The bla fell in the hole.,False,baz,schleep,bla,"

the baz","

the plomp","
the dinglebob"
13,The schleep hit the bla. The baz hit the schleep. The bla fell in the hole.,True,baz,schleep,bla,"

the baz","

the plomp","
the dinglebob"
14,The baz hit the schleep. The schleep hit the plomp. The plomp fell in the hole.,False,baz,schleep,plomp,"

the baz","

the plomp", the dinglebob
15,The schleep hit the plomp. The baz hit the schleep. The plomp fell in the hole.,True,baz,schleep,plomp,"
The baz hit the schleep.","

the schleep","
the dinglebob"
16,The baz hit the schleep. The schleep hit the dinglebob. The dinglebob fell in the hole.,False,baz,schleep,dinglebob,"
The baz hit the schleep.","

the blubb","

the plomp"
17,The schleep hit the dinglebob. The baz hit the schleep. The dinglebob fell in the hole.,True,baz,schleep,dinglebob,"

the fuu","

the blubb","

the dinglebob"
18,The baz hit the blubb. The blubb hit the bla. The bla fell in the hole.,False,baz,blubb,bla,"

the baz","

the schleep","

the plomp"
19,The blubb hit the bla. The baz hit the blubb. The bla fell in the hole.,True,baz,blubb,bla,"

the fuu","

the plomp","

the plomp"
20,The baz hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,baz,blubb,plomp,"

the baz","

the schleep","

the plomp"
21,The blubb hit the plomp. The baz hit the blubb. The plomp fell in the hole.,True,baz,blubb,plomp,"

the blubb","

the plomp","

the blubb"
