,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green," The blue ball.

The red ball hit the green ball. The green ball hit the purple", The black ball.,"

The black ball hit the white ball. The white ball fell in the hole."," The red ball.

The red ball hit the green ball. The green ball fell in the","

The purple ball.","

The black ball."
1,The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green," The purple ball.

The blue ball hit the green ball. The blue ball fell in the","

The brown ball.","

The black ball.","

The red ball hit the red ball. The blue ball hit the blue ball. The green", The black ball.,"

The blue ball hit the red ball. The red ball hit the blue ball. The blue"
2,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown,"

The green ball."," The purple ball.

The purple ball fell in the hole.","

The green ball hit the red ball. The red ball hit the green ball. The green"," The black ball.

The purple ball hit the black ball. The red ball hit the purple","

The white ball hit the black ball. The black ball hit the yellow ball. The yellow","

The black ball hit the white ball. The red ball hit the black ball. The white"
3,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown,"

The blue ball hit the brown ball. The blue ball hit the red ball. The brown","

The black ball fell in the hole.","

The black ball hit the white ball. The red ball hit the black ball. The white","

The purple ball hit the white ball. The white ball fell in the hole."," The white ball.

The white ball was second in the chain.","

The blue ball hit the red ball. The red ball hit the brown ball. The brown"
4,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple,"

The red ball hit the brown ball. The brown ball hit the purple ball. The purple", The black ball.,"

The blue ball hit the red ball. The red ball hit the purple ball. The purple","

The green ball hit the red ball. The red ball hit the green ball. The green","

The green ball.","

The white ball."
5,The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple," The white ball.

The white ball hit the brown ball. The red ball hit the brown","

The brown ball.","

The black ball hit the white ball. The red ball hit the black ball. The white","

The white ball hit the brown ball. The brown ball hit the white ball. The white", The black ball.,"

The blue ball hit the red ball. The red ball hit the purple ball. The purple"
6,The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black, The white ball., The black ball.,"

The black ball.", The purple ball.,"

The black ball.","

The white ball."
7,The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black, The purple ball.,"

The black ball fell in the hole.","

The purple ball hit the white ball. The green ball hit the purple ball. The white","

The green ball hit the purple ball. The purple ball hit the black ball. The black","

The black ball.","

The black ball."
8,The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white,"

The black ball hit the white ball. The white ball fell in the hole."," The purple ball.

The purple ball hit the white ball. The white ball fell in the","

The black ball."," The black ball.

The red ball hit the white ball. The white ball fell in the","

The brown ball.","

The black ball."
9,The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white,"

The blue ball hit the purple ball. The blue ball hit the red ball. The red","

The brown ball hit the white ball. The red ball hit the brown ball. The blue","

The black ball.","

The black ball hit the purple ball. The purple ball hit the black ball. The black", The white ball.,"

The black ball."
