prompts,correct_answers,answers
The child started crying because the child hurt their knee. The child hurt their knee because the child started crying.,The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
The child hurt their knee because the child started crying. The child started crying because the child hurt their knee.,The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
I washed the car because my car got dirty. My car got dirty because i washed the car.,I washed the car because my car got dirty.,"

The sentence that gets cause and effect right is ""My car got dirty because i washed the car."""
My car got dirty because i washed the car. I washed the car because my car got dirty.,I washed the car because my car got dirty.,"

The sentence that gets cause and effect right is ""I washed the car because my car got dirty."""
Someone called 911 because someone fainted. Someone fainted because someone called 911.,Someone called 911 because someone fainted.,"

Someone called 911 because someone fainted."
Someone fainted because someone called 911. Someone called 911 because someone fainted.,Someone called 911 because someone fainted.,"

Someone called 911 because someone fainted."
The vase shattered on the floor because a man accidently pushed the vase off a counter. A man accidently pushed the vase off a counter because the vase shattered on the floor.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The sentence that gets cause and effect right is ""A man accidently pushed the vase off a counter because the"
A man accidently pushed the vase off a counter because the vase shattered on the floor. The vase shattered on the floor because a man accidently pushed the vase off a counter.,The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The sentence that gets cause and effect right is ""A man accidently pushed the vase off a counter."""
The woman who was walking on the street opened her umbrella because it started raining. It started raining because the woman who was walking on the street opened her umbrella.,The woman who was walking on the street opened her umbrella because it started raining.,"

The sentence that gets cause and effect right is ""It started raining because the woman who was walking on the street opened"
It started raining because the woman who was walking on the street opened her umbrella. The woman who was walking on the street opened her umbrella because it started raining.,The woman who was walking on the street opened her umbrella because it started raining.,"

The sentence that gets cause and effect right is ""The woman who was walking on the street opened her umbrella because it"
The boy lifted his eyes from the book because there was a loud noise. There was a loud noise because the boy lifted his eyes from the book.,The boy lifted his eyes from the book because there was a loud noise.,"

The sentence that gets cause and effect right is ""There was a loud noise because the boy lifted his eyes from the"
There was a loud noise because the boy lifted his eyes from the book. The boy lifted his eyes from the book because there was a loud noise.,The boy lifted his eyes from the book because there was a loud noise.,"

The sentence that gets cause and effect right is ""The boy lifted his eyes from the book because there was a loud"
The girl woke up covered in cold sweat because the girl had a nightmare. The girl had a nightmare because the girl woke up covered in cold sweat.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The sentence that gets cause and effect right is ""The girl woke up covered in cold sweat because the girl had a"
The girl had a nightmare because the girl woke up covered in cold sweat. The girl woke up covered in cold sweat because the girl had a nightmare.,The girl woke up covered in cold sweat because the girl had a nightmare.,"

The sentence that gets cause and effect right is ""The girl woke up covered in cold sweat because the girl had a"
The driver turned the wipers on because it started raining. It started raining because the driver turned the wipers on.,The driver turned the wipers on because it started raining.,"

The sentence that gets cause and effect right is ""It started raining because the driver turned the wipers on."""
It started raining because the driver turned the wipers on. The driver turned the wipers on because it started raining.,The driver turned the wipers on because it started raining.,"

The sentence that gets cause and effect right is ""The driver turned the wipers on because it started raining."""
A man was covered in sticky red goo because a watermelon exploded. A watermelon exploded because a man was covered in sticky red goo.,A man was covered in sticky red goo because a watermelon exploded.,"

A watermelon exploded because a man was covered in sticky red goo."
A watermelon exploded because a man was covered in sticky red goo. A man was covered in sticky red goo because a watermelon exploded.,A man was covered in sticky red goo because a watermelon exploded.,"

A watermelon exploded because a man was covered in sticky red goo."
