,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
0,The baz hit the fuu. The fuu hit the schleep. The schleep fell in the hole.,False,baz,fuu,schleep, the baz hit the fuu. The fuu hit the schleep. The schleep fell," the baz

The baz hit the fuu. The fuu hit the schleep", the dinglebob, the blubb hit the dling. The baz hit the blubb. The dling fell, the blubb hit the plomp. The baz hit the blubb. The plomp fell, the dinglebob
1,The fuu hit the schleep. The baz hit the fuu. The schleep fell in the hole.,True,baz,fuu,schleep, the baz hit the fuu. The baz fell in the hole., the fuu hit the blubb. The baz hit the fuu. The blubb fell," the dinglebob.

The dinglebob hit the dingle. The b", the baz hit the fuu. The fuu hit the plomp. The plomp fell, the dling hit the dinglebob. The dinglebob hit the blubb., the dinglebob.
2,The baz hit the fuu. The fuu hit the blubb. The blubb fell in the hole.,False,baz,fuu,blubb, the baz hit the schleep. The schleep hit the blubb. The blubb fell, the dinglebob," the plomp hit the baz.

The baz hit the fuu. The f", the baz hit the fuu. The fuu hit the blubb. The blubb fell, the fuu hit the blubb. The baz hit the fuu. The blubb fell, the dinglebob
3,The fuu hit the blubb. The baz hit the fuu. The blubb fell in the hole.,True,baz,fuu,blubb," the baz hit the dling.

The dling hit the plomp. The b", the dling hit the plomp. The blubb hit the dling. The plomp fell, the dling hit the blubb. The baz hit the fuu. The blubb fell, the baz hit the schleep. The schleep hit the dinglebob. The d, the dling hit the plomp. The plomp fell in the hole., the blubb hit the fuu. The baz hit the fuu.
4,The baz hit the fuu. The fuu hit the dling. The dling fell in the hole.,False,baz,fuu,dling," the schleep

The plomp hit the dinglebob. The dinglebob"," the baz

The baz hit the fuu. The fuu hit the dling", the dling, the plomp started the chain., the schleep, the dinglebob
5,The fuu hit the dling. The baz hit the fuu. The dling fell in the hole.,True,baz,fuu,dling, the baz hit the dling. The dling fell in the hole., the plomp and the baz., the dinglebob, the schleep hit the blubb. The blubb hit the dinglebob. The d," the baz

The baz hit the dling. The baz hit the plomp", the plomp hit the baz.
6,The baz hit the fuu. The fuu hit the plomp. The plomp fell in the hole.,False,baz,fuu,plomp, the blubb hit the dinglebob. The dinglebob fell in the hole.," the dinglebob.

The dinglebob hit the blubb. The bl", the dinglebob hit the fuu. The fuu hit the plomp. The pl, the dling hit the plomp. The dling hit the baz. The baz fell," the baz

The baz hit the fuu. The fuu hit the plomp", the dling hit the schleep. The baz hit the schleep. The dling fell
7,The fuu hit the plomp. The baz hit the fuu. The plomp fell in the hole.,True,baz,fuu,plomp, the baz hit the baz. The baz fell in the hole., the baz, the blubb hit the plomp. The baz hit the fuu. The plomp fell, the baz hit the blubb. The blubb hit the dinglebob. The d," the dling.

The dling fell in the hole.", the dinglebob hit the plomp. The plomp hit the baz.
8,The baz hit the fuu. The fuu hit the dinglebob. The dinglebob fell in the hole.,False,baz,fuu,dinglebob, the baz hit the fuu. The fuu hit the dinglebob. The d, the dinglebob hit the fuu. The fuu hit the dinglebob., the dinglebob," the chain hit the fuu.

The chain hit the fuu. The fuu hit", the blubb hit the dling. The baz hit the blubb. The dingleb, the plomp hit the dinglebob. The dinglebob fell in the hole.
9,The fuu hit the dinglebob. The baz hit the fuu. The dinglebob fell in the hole.,True,baz,fuu,dinglebob, the blubb hit the plomp. The baz hit the plomp. The dingleb," the dinglebob

The dinglebob fell in the hole.", the dinglebob hit the dingle. The baz hit the bing. The b, the baz hit the schleep. The schleep hit the dinglebob. The d," the baz

The baz hit the blubb. The blubb hit the dling", the blubb hit the dinglebob. The baz hit the fuu. The d
