,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False,"

The child started crying.","

The child started crying."
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True,"

The child started crying.","

The child hurt their knee."
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False,"
My car got dirty.","

I washed the car."
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True,"

My car got dirty.","

I washed the car. My car got dirty."
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False,"
Someone fainted.
Someone called 911.","
Someone called 911."
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True,"
Someone fainted.","
Someone called 911."
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False,"
A man accidently pushed the vase off a counter.","

The vase shattered on the floor."
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True,"
A man accidently pushed the vase off a counter.","

The vase shattered on the floor."
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False,"

It started raining.","

The woman who was walking on the street opened her umbrella."
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True,"
It started raining.","
The woman who was walking on the street opened her umbrella."
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False,"

The boy lifted his eyes from the book.","

The boy lifted his eyes from the book."
11,The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True,"
The boy lifted his eyes from the book.","
The boy lifted his eyes from the book."
12,The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False,"
The girl had a nightmare.","

The girl woke up covered in cold sweat."
13,The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True,"
The girl had a nightmare.","

The girl woke up covered in cold sweat."
14,It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False,"
It started raining.","

The driver turned the wipers on."
15,The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True,"
It started raining.","

It started raining."
16,A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False,"

A watermelon exploded.","
A man was covered in sticky red goo."
17,A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True,"

A watermelon exploded.","

A man was covered in sticky red goo."
18,She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False,"

She noticed that she was out of toilet paper.","

She went to the store and bought toilet paper."
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True,"

She went to the store and bought toilet paper.","

She went to the store and bought toilet paper."
