,sequence,shuffled,first_color,second_color,third_color,fourth_color,final_color,responses_first,responses_second,responses_third,responses_fourth,responses_final,responses_first_ss,responses_second_ss,responses_third_ss,responses_fourth_ss,responses_final_ss
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell into the hole.,False,blue,red,green,brown,purple, The blue ball., The green ball, The green ball., The brown ball., The purple ball., The green ball, The green ball., The green ball., The brown ball., The purple ball.
1,The brown ball hit the purple ball. The green ball hit the brown ball. The red ball hit the green ball. The blue ball hit the red ball. The purple ball fell into the hole.,True,blue,red,green,brown,purple, The purple ball., The brown ball., The green ball., The green ball., The purple ball., The blue ball., The brown ball., The brown ball., The green ball., The purple ball.
2,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell into the hole.,False,blue,red,green,brown,black, The blue ball., The green ball, The green ball., The green ball., The black ball., The red ball., The green ball., The green ball., The green ball., The black ball.
3,The green ball hit the brown ball. The brown ball hit the black ball. The blue ball hit the red ball. The red ball hit the green ball. The black ball fell into the hole.,True,blue,red,green,brown,black, The green ball, The green ball., The green ball., The green ball., The black ball., The blue ball., The red ball., The green ball., The brown ball., The black ball.
4,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,brown,white, The blue ball., The red ball., The green ball., The brown ball., The white ball., The blue ball., The green ball., The green ball., The brown ball., The white ball.
5,The blue ball hit the red ball. The green ball hit the brown ball. The brown ball hit the white ball. The red ball hit the green ball. The white ball fell into the hole.,True,blue,red,green,brown,white, The brown ball, The brown ball., The green ball., The green ball., The white ball., The blue ball., The brown ball., The green ball., The green ball., The white ball.
6,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,red,green,purple,black, The blue ball., The red ball., The purple ball., The purple ball., The black ball., The blue ball., The red ball., The green ball., The purple ball., The black ball.
7,The purple ball hit the black ball. The green ball hit the purple ball. The red ball hit the green ball. The blue ball hit the red ball. The black ball fell into the hole.,True,blue,red,green,purple,black, The blue ball., The purple ball., The purple ball., The green ball., The black ball., The blue ball., The purple ball., The purple ball., The purple ball., The black ball.
8,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,purple,white, The blue ball., The green ball., The green ball., The purple ball., The white ball., The blue ball., The red ball., The green ball., The purple ball., The white ball.
9,The green ball hit the purple ball. The purple ball hit the white ball. The red ball hit the green ball. The blue ball hit the red ball. The white ball fell into the hole.,True,blue,red,green,purple,white, The blue ball., The purple ball., The purple ball., The purple ball., The white ball., The blue ball., The purple ball., The purple ball., The green ball., The white ball.
10,The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,black,white, The blue ball., The green ball., The green ball., The black ball., The white ball., The blue ball., The red ball., The green ball., The black ball., The white ball.
11,The blue ball hit the red ball. The black ball hit the white ball. The red ball hit the green ball. The green ball hit the black ball. The white ball fell into the hole.,True,blue,red,green,black,white, The red ball., The green ball., The black ball., The white ball., The white ball., The green ball., The green ball., The black ball., The black ball., The white ball.
12,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,red,brown,purple,black, The blue ball, The brown ball., The purple ball., The purple ball., The black ball., The blue ball., The red ball., The purple ball., The purple ball., The black ball.
13,The purple ball hit the black ball. The red ball hit the brown ball. The blue ball hit the red ball. The brown ball hit the purple ball. The black ball fell into the hole.,True,blue,red,brown,purple,black, The purple ball., The red ball., The red ball., The purple ball., The black ball., The blue ball., The brown ball., The red ball., The purple ball., The black ball.
14,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,red,brown,purple,white, The blue ball., The red ball., The purple ball., The purple ball., The white ball., The purple ball., The blue ball., The purple ball., The purple ball., The white ball.
15,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,True,blue,red,brown,purple,white, The red ball., The purple ball., The purple ball., The purple ball., The white ball., The purple ball., The white ball., The brown ball., The purple ball., The white ball.
16,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,brown,black,white, The blue ball., The red ball., The black ball., The black ball., The white ball., The blue ball., The brown ball., The brown ball., The black ball., The white ball.
17,The black ball hit the white ball. The red ball hit the brown ball. The blue ball hit the red ball. The brown ball hit the black ball. The white ball fell into the hole.,True,blue,red,brown,black,white, The white ball., The black ball., The black ball., The red ball., The white ball., The red ball., The brown ball., The brown ball., The black ball., The white ball.
18,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,purple,black,white, The blue ball, The red ball., The purple ball., The purple ball., The white ball., The purple ball., The purple ball., The purple ball., The white ball., The white ball.
