,prompts,correct_answers,answers
0,"The child started crying because the child hurt their knee.
The child hurt their knee because the child started crying.",The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
1,"The child hurt their knee because the child started crying.
The child started crying because the child hurt their knee.",The child started crying because the child hurt their knee.,"

The child started crying because the child hurt their knee."
2,"I washed the car because my car got dirty.
My car got dirty because i washed the car.",I washed the car because my car got dirty.,"

The sentence that gets cause and effect right is ""My car got dirty because i washed the"
3,"My car got dirty because i washed the car.
I washed the car because my car got dirty.",I washed the car because my car got dirty.,"

The sentence that gets cause and effect right is ""I washed the car because my car got"
4,"Someone called 911 because someone fainted.
Someone fainted because someone called 911.",Someone called 911 because someone fainted.,"

The sentence that gets cause and effect right is ""Someone fainted because someone called 911."""
5,"Someone fainted because someone called 911.
Someone called 911 because someone fainted.",Someone called 911 because someone fainted.,"

The sentence that gets cause and effect right is ""Someone called 911 because someone fainted."""
6,"The vase shattered on the floor because a man accidently pushed the vase off a counter.
A man accidently pushed the vase off a counter because the vase shattered on the floor.",The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The sentence that gets cause and effect right is ""A man accidently pushed the vase"
7,"A man accidently pushed the vase off a counter because the vase shattered on the floor.
The vase shattered on the floor because a man accidently pushed the vase off a counter.",The vase shattered on the floor because a man accidently pushed the vase off a counter.,"

The sentence that gets cause and effect right is ""The vase shattered on the floor because"
8,"The woman who was walking on the street opened her umbrella because it started raining.
It started raining because the woman who was walking on the street opened her umbrella.",The woman who was walking on the street opened her umbrella because it started raining.,"

The sentence that gets cause and effect right is ""It started raining because the woman who was"
9,"It started raining because the woman who was walking on the street opened her umbrella.
The woman who was walking on the street opened her umbrella because it started raining.",The woman who was walking on the street opened her umbrella because it started raining.,"

The sentence that gets cause and effect right is ""The woman who was walking on the street"
10,"The boy lifted his eyes from the book because there was a loud noise.
There was a loud noise because the boy lifted his eyes from the book.",The boy lifted his eyes from the book because there was a loud noise.,"

The sentence that gets cause and effect right is ""The boy lifted his eyes from the book"
11,"There was a loud noise because the boy lifted his eyes from the book.
The boy lifted his eyes from the book because there was a loud noise.",The boy lifted his eyes from the book because there was a loud noise.,"

The sentence that gets cause and effect right is ""The boy lifted his eyes from the book"
12,"The girl woke up covered in cold sweat because the girl had a nightmare.
The girl had a nightmare because the girl woke up covered in cold sweat.",The girl woke up covered in cold sweat because the girl had a nightmare.,"

The sentence that gets cause and effect right is ""The girl had a nightmare because the girl"
