,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final
0,The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green, The blue ball hit, The blue ball hit, The blue ball hit
1,The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green, The red ball hit, The red ball hit, The red ball hit
2,The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown, The blue ball hit, The blue ball hit, The blue ball hit
3,The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown, The red ball hit, The red ball hit, The red ball hit
4,The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple, The blue ball hit, The blue ball hit, The blue ball hit
5,The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple, The red ball hit, The red ball hit, The red ball hit
6,The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black, The blue ball hit, The blue ball hit, The ball fell into
7,The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black, The red ball hit, The red ball hit, The red ball hit
8,The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white, The blue ball hit, The blue ball hit, The blue ball hit
9,The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white, The red ball hit, The red ball hit, The red ball hit
10,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball fell in the hole.,False,blue,green,brown, The blue ball hit, The blue ball hit, The blue ball hit
11,The green ball hit the brown ball. The blue ball hit the green ball. The brown ball fell in the hole.,True,blue,green,brown, The green ball hit, The green ball hit, The green ball hit
12,The blue ball hit the green ball. The green ball hit the purple ball. The purple ball fell in the hole.,False,blue,green,purple, The blue ball hit, The blue ball hit, The blue ball hit
13,The green ball hit the purple ball. The blue ball hit the green ball. The purple ball fell in the hole.,True,blue,green,purple, The green ball hit, The green ball hit, The green ball hit
