sequence,switched,first_color,second_color,final_color
The blue ball hit the red ball. The red ball hit the green ball. The green ball fell in the hole.,False,blue,red,green
The red ball hit the green ball. The blue ball hit the red ball. The green ball fell in the hole.,True,blue,red,green
The blue ball hit the red ball. The red ball hit the brown ball. The brown ball fell in the hole.,False,blue,red,brown
The red ball hit the brown ball. The blue ball hit the red ball. The brown ball fell in the hole.,True,blue,red,brown
The blue ball hit the red ball. The red ball hit the purple ball. The purple ball fell in the hole.,False,blue,red,purple
The red ball hit the purple ball. The blue ball hit the red ball. The purple ball fell in the hole.,True,blue,red,purple
The blue ball hit the red ball. The red ball hit the black ball. The black ball fell in the hole.,False,blue,red,black
The red ball hit the black ball. The blue ball hit the red ball. The black ball fell in the hole.,True,blue,red,black
The blue ball hit the red ball. The red ball hit the white ball. The white ball fell in the hole.,False,blue,red,white
The red ball hit the white ball. The blue ball hit the red ball. The white ball fell in the hole.,True,blue,red,white
The blue ball hit the green ball. The green ball hit the brown ball. The brown ball fell in the hole.,False,blue,green,brown
The green ball hit the brown ball. The blue ball hit the green ball. The brown ball fell in the hole.,True,blue,green,brown
The blue ball hit the green ball. The green ball hit the purple ball. The purple ball fell in the hole.,False,blue,green,purple
The green ball hit the purple ball. The blue ball hit the green ball. The purple ball fell in the hole.,True,blue,green,purple
The blue ball hit the green ball. The green ball hit the black ball. The black ball fell in the hole.,False,blue,green,black
The green ball hit the black ball. The blue ball hit the green ball. The black ball fell in the hole.,True,blue,green,black
The blue ball hit the green ball. The green ball hit the white ball. The white ball fell in the hole.,False,blue,green,white
The green ball hit the white ball. The blue ball hit the green ball. The white ball fell in the hole.,True,blue,green,white
The blue ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,False,blue,brown,purple
The brown ball hit the purple ball. The blue ball hit the brown ball. The purple ball fell in the hole.,True,blue,brown,purple
The blue ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,False,blue,brown,black
The brown ball hit the black ball. The blue ball hit the brown ball. The black ball fell in the hole.,True,blue,brown,black
