,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect,responses_cause_ss,responses_effect_ss
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False, The child hurt their knee. The child started crying., The performer ran off the stage. The child hurt their knee. The child started crying.," The child hurt their knee. The child started crying.

The child hurt their knee. The"," A flower grew.
The child hurt their knee. The child started crying."
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True," The child started crying. The child hurt their knee.

The child started crying. This caused"," The girl woke up covered in cold sweat.
The child stopped crying. The child stopped hurting their"," Alice ate the last cookie.
The child started crying. The child hurt their knee."," The child started crying. The child hurt their knee.

The child started crying. The child"
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False," A bird hit the engine.

My car got dirty. I washed the car.", My car got dirty. I washed the car., My car got dirty. I washed the car., My car got dirty. I washed the car.
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True, I washed the car. My car got dirty., I washed the car. My car got dirty., I washed the car. My car got dirty.," I washed the car. My car got dirty.

The insect pollinated the tomato flowers."
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False, The milk was left outside the fridge over night.Someone fainted.Someone called 911., Someone fainted. Someone called 911., Someone fainted. Someone called 911., The man sued. Someone fainted. Someone called 911.
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True, Someone called 911. Someone fainted., The man sipped the milk and spit it out. Someone called 911., I pulled the dog's tail. Someone called 911.," Someone called 911. Someone fainted.

The effect of the first sentence is that someone called"
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False," A man accidently pushed the vase off a counter.
The vase shattered on the floor", A man accidently pushed the vase off a counter. The vase shattered on the floor., A man accidently pushed the vase off a counter. The vase shattered on the floor.," The basketball player took a free throw.

A man accidently pushed the vase off a"
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True, The vase shattered on the floor. A man accidently pushed the vase off a counter.," A man accidently pushed the vase off a counter.

The vase shattered on the", The vase shattered on the floor. A man accidently pushed the vase off a counter.," A man accidently pushed the vase off a counter.

The vase shattered on the"
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False," It started raining.

The woman who was walking on the street opened her umbrella."," The woman who was walking on the street opened her umbrella.

The woman opened her umbrella and"," The woman who was walking on the street opened her umbrella.

The woman opened her umbrella."," It started raining.
The woman who was walking on the street opened her umbrella."
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True, It started raining., The woman who was walking on the street opened her umbrella. It started raining., The woman who was walking on the street opened her umbrella. It started raining., The woman who was walking on the street opened her umbrella. It started raining.
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False," The boy lifted his eyes from the book.

The boy lifted his eyes from the book."," The boy lifted his eyes from the book.

The boy lifted his eyes from the book."," The boy lifted his eyes from the book.

The boy lifted his eyes from the book."," Bob opened the jar and was frustrated.

The boy lifted his eyes from the book."
11,The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True," The boy lifted his eyes from the book. There was a loud noise.

The boy lifted", The window broke. The boy lifted his eyes from the book. There was a loud noise.," The boy lifted his eyes from the book. There was a loud noise.

The boy lifted"," The boy lifted his eyes from the book. There was a loud noise.

The boy lifted"
12,The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False," The girl had a nightmare.
The girl woke up covered in cold sweat."," The girl woke up covered in cold sweat.

The girl had a nightmare.", The girl had a nightmare. The girl woke up covered in cold sweat.," The girl had a nightmare.
The girl woke up covered in cold sweat."
13,The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True," The girl woke up covered in cold sweat.
The girl had a nightmare.", The girl woke up covered in cold sweat. The girl had a nightmare.," The girl woke up covered in cold sweat.
The girl had a nightmare."," The girl woke up covered in cold sweat.
The girl had a nightmare."
14,It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False," The driver turned the wipers on.

The driver turned the wipers on.", It started raining. The driver turned the wipers on., It started raining. The driver turned the wipers on.," It started raining.
The driver turned the wipers on."
15,The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True, The driver turned the wipers on. It started raining.," The window broke.
The driver turned the wipers on. It started raining.", A watermelon exploded. The driver turned the wipers on. It started raining., The driver turned the wipers on. It started raining.
16,A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False, A watermelon exploded. A man was covered in sticky red goo.," A watermelon exploded. A man was covered in sticky red goo.

The watermelon", A watermelon exploded. A man was covered in sticky red goo., A watermelon exploded. A man was covered in sticky red goo.
17,A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True," A man was covered in sticky red goo. A watermelon exploded.

The man was", I washed the car. A man was covered in sticky red goo. A watermelon exploded.," A man was covered in sticky red goo. A watermelon exploded.

The man was"," A watermelon exploded.

The man was covered in sticky red goo. A watermelon"
18,She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False, She noticed that she was out of toilet paper. She went to the store and bought toilet paper., She noticed that she was out of toilet paper. She went to the store and bought toilet paper., She noticed that she was out of toilet paper. She went to the store and bought toilet paper.," The tenants contacted their landlord.

The tenants contacted their landlord. The landlord fixed the mold and"
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True, She went to the store and bought toilet paper. She noticed that she was out of toilet paper., School was cancelled. She went to the store and bought toilet paper. She noticed that she was out," The team won the game.

She went to the store and bought toilet paper. She noticed", She went to the store and bought toilet paper. She noticed that she was out of toilet paper.
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False, A large object hit the Earth. The dinosaurs became extinct., Tomatoes grew on the vine. A large object hit the Earth. The dinosaurs became extinct., A large object hit the Earth. The dinosaurs became extinct., The man sued. A large object hit the Earth. The dinosaurs became extinct.
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True," A large object hit the Earth.

The large object hit the Earth."," The man turned down the music volume.
A large object hit the Earth."," The man couldn't hear what the woman was saying.

The man turned down the music volume"," The man climbed in through the window.

The man climbed in through the window. The dinosaurs"
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False," It started raining.
The bottle was left open. The soda went flat."," The woman who was walking on the street opened her umbrella.
The bottle was left open. The"," The man robbed a gas station.
The man left the bottle open. The soda went flat.", The team won the championship. The bottle was left open. The soda went flat.
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True," The soda went flat. The bottle was left open.

The man got lost in the woods"," The family went to the beach.
The soda went flat. The bottle was left open."," I studied hard.

The soda went flat. The bottle was left open."," The soda went flat. The bottle was left open.

The soda went flat. The bottle"
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False, George plugged the laptop charger in., The laptop ran out of battery. George plugged the laptop charger in.," The laptop ran out of battery.
George plugged the laptop charger in.", The driver was pulled over and was fined. The laptop ran out of battery. George plugged the laptop
