,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
0,The child hurt their knee. The child started crying.,The child hurt their knee.,The child started crying.,False,"

The child hurt their knee.

The child started crying.","

The child hurt their knee. The child started crying.

The child hurt their knee"
1,The child started crying. The child hurt their knee.,The child hurt their knee.,The child started crying.,True,"

The child started crying.

The child hurt their knee.","

The child started crying.

The child hurt their knee."
2,My car got dirty. I washed the car.,My car got dirty.,I washed the car.,False,"

I washed the car.

The sentence ""I washed the car"" caused the other","

I washed the car.

The sentence after ""I"" is the effect of the"
3,I washed the car. My car got dirty.,My car got dirty.,I washed the car.,True," I washed the car.

The sentence ""I washed the car."" caused the other sentence,"," I washed the car.

The sentence is the effect of the other."
4,Someone fainted. Someone called 911.,Someone fainted.,Someone called 911.,False,"

Someone fainted. Someone called 911.

The 911 call caused the person to faint","

Someone fainted. Someone called 911.

The first sentence is the effect of the"
5,Someone called 911. Someone fainted.,Someone fainted.,Someone called 911.,True,"

Someone called 911.

Someone fainted.","

Someone called 911. Someone fainted.

The sentence that is the effect of the"
6,A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,False,"

The vase shattered on the floor.

The man accidently pushed the vase","

The vase shattered on the floor."
7,The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.,The vase shattered on the floor.,True,"

The vase shattered on the floor.

A man accidently pushed the vase","

The vase shattered on the floor.

A man accidently pushed the vase"
8,It started raining. The woman who was walking on the street opened her umbrella.,It started raining.,The woman who was walking on the street opened her umbrella.,False,"

The woman who was walking on the street opened her umbrella.

The umbrella caused the","

The woman who was walking on the street opened her umbrella.

The umbrella opened the"
9,The woman who was walking on the street opened her umbrella. It started raining.,It started raining.,The woman who was walking on the street opened her umbrella.,True,"

The woman who was walking on the street opened her umbrella.

The umbrella caused the","

The woman who was walking on the street opened her umbrella. It started raining."
10,There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.,The boy lifted his eyes from the book.,False,"

The boy lifted his eyes from the book.

The noise was caused by the boy","

The boy lifted his eyes from the book.

The boy's eyes widened in surprise"
11,The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True,"

The boy lifted his eyes from the book.

The boy lifted his eyes from the","

The boy lifted his eyes from the book.

The boy's eyes widened in surprise"
12,The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False,"

The girl had a nightmare.

The girl woke up covered in cold sweat.","

The girl had a nightmare. She woke up covered in cold sweat."
13,The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True,"

The girl woke up covered in cold sweat.

The girl had a nightmare.","

The girl woke up covered in cold sweat.

The girl had a nightmare."
14,It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False,"

The driver turned the wipers on.

The rain caused the wipers to turn","

The driver turned the wipers on.

The driver turned the wipers off."
15,The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True,"

The driver turned the wipers on.

The driver turned the wipers on because","

The driver turned the wipers on.

The driver turned the wipers off."
16,A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False,"

A watermelon exploded.

The man was covered in sticky red goo.","

The man was covered in sticky red goo.

The watermelon exploded."
17,A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True,"

A man was covered in sticky red goo. A watermelon exploded.

The","

The man was covered in sticky red goo. A watermelon exploded.

The"
18,She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False,"

She noticed that she was out of toilet paper.

She went to the store and","

She noticed that she was out of toilet paper. She went to the store and bought some"
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True,"

She went to the store and bought toilet paper.

The first sentence caused the second","

She went to the store and bought toilet paper.

The sentence after the one in"
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False,"

The large object hit the Earth.

The dinosaurs became extinct.","

The dinosaurs became extinct because a large object hit the Earth."
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True,"

The dinosaurs became extinct. A large object hit the Earth.

The large object hit","

The dinosaurs became extinct as a result of the large object hitting the Earth."
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False,"

The bottle was left open.

The soda went flat.","

The bottle was left open. The soda went flat.

The sentence that has the"
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True,"

The soda went flat.

The bottle was left open.","

The soda went flat.

The bottle was left open."
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False,"

George plugged the laptop charger in.

The laptop ran out of battery.","

The laptop ran out of battery.

George plugged the laptop charger in."
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True,"

The laptop ran out of battery.

The laptop was plugged in.","

The laptop ran out of battery.

The laptop was not plugged in."
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False,"

The curtains were opened.

The sunlight filled the room.","

The curtains were opened. Sunlight filled the room.

The curtains were opened."
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True,"

The curtains were opened.

The sunlight filled the room.","

The sunlight filled the room.

The curtains were opened."
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False,"

The insect pollinated the tomato flowers.

Tomatoes grew on the vine.","

The insect pollinated the tomato flowers.

Tomatoes grew on the vine."
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True,"

Tomatoes grew on the vine.

The insect pollinated the tomato flowers.","

Tomatoes grew on the vine. The insect pollinated the tomato flowers.

The"
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False,"

The girl stepped onto the street.

The driver hit the brakes.","

The girl stepped onto the street.

The driver hit the brakes."
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True,"

The driver hit the brakes.

The girl stepped onto the street.","

The driver hit the brakes. The girl was hit by the car."
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False,"

The performer ran off the stage.

The performer ran off the stage because there was","

There was a wardrobe malfunction.

The performer ran off the stage."
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True,"

The performer ran off the stage.

The performer ran off the stage because there was","

The performer ran off the stage. There was a wardrobe malfunction.

The performer ran"
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False,"

The bird hit the engine.

The pilot turned on the ""fasten seatbel","

The bird hit the engine.

The pilot turned on the ""fasten seatbel"
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True,"

The pilot turned on the ""fasten seatbelts"" light.

The bird","

The bird hit the engine, causing the pilot to turn on the ""fasten seatbel"
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False,"

The milk was left outside the fridge over night.

The man sipped the milk","

The milk was left outside the fridge over night. The man sipped the milk and it"
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True,"

The man sipped the milk and spat it out.

The milk was left outside","

The milk was left outside the fridge over night.

The milk was left outside the"
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False,"

The man turned down the music volume.

The man could not hear what the woman","

The man turned down the music volume.

The man cannot hear what the woman is"
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True,"

The man turned down the music volume.

The man couldn't hear what the woman","

The man turned down the music volume.

The man cannot hear what the woman is"
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False,"

The power was out for days.

The meat spoiled.","

The power was out for days. The meat spoiled.

The power was out for"
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True,"

The meat spoiled.

The power was out for days.","

The meat spoiled.

The power was out for days."
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False,"

The gardener planted a seed.

A flower grew.","

The gardener planted a seed. A flower grew.

The gardener planted a"
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True,"

The gardener planted a seed.

The flower grew.","

The flower grew.

The gardener planted a seed."
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False,"

The team won the game.

The team won the championship.","

The team won the game.

The team won the championship."
