prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee., The child's crying is the cause of their injury., The child started crying is the effect of the child hurting their knee.
The child started crying. The child hurt their knee.,The child hurt their knee., The child started crying because they hurt their knee., The child started crying because they hurt their knee.
My car got dirty. I washed the car.,My car got dirty., The first sentence is the cause of the other., The first sentence is the effect of the other.
I washed the car. My car got dirty.,My car got dirty.," The sentence ""My car got dirty"" is the cause of the other.", The first sentence is the effect of the other.
Someone fainted. Someone called 911.,Someone fainted., The sentence that someone fainted is the cause of the sentence that someone called," The sentence ""Someone called 911"" is the effect of the other."
Someone called 911. Someone fainted.,Someone fainted., The sentence that someone called 911 is the cause of the other.," The sentence ""Someone called 911"" is the effect of the other."
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter., The man accidently pushed the vase off a counter.," The sentence ""The vase shattered on the floor"" is the effect of"
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.," The sentence ""A man accidently pushed the vase off a counter"""," The sentence ""A man accidently pushed the vase off a counter"""
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.," The sentence ""The woman who was walking on the street opened her umbrella"""," The sentence ""The woman who was walking on the street opened her umbrella."""
The woman who was walking on the street opened her umbrella. It started raining.,It started raining.," The sentence ""The woman who was walking on the street opened her umbrella"""," The sentence ""The woman who was walking on the street opened her umbrella"""
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise., The noise was loud., The first sentence is the effect of the other.
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.," The sentence ""The boy lifted his eyes from the book"" is the cause"," The sentence ""The boy lifted his eyes from the book"" is the effect"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare., The girl had a nightmare.," The sentence ""The girl had a nightmare"" is the effect of the other"
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.," The sentence ""The girl had a nightmare"" is the cause of the other"," The sentence ""The girl woke up covered in cold sweat"" is the effect"
It started raining. The driver turned the wipers on.,It started raining.," The sentence ""The driver turned the wipers on"" is the cause of"," The sentence ""The driver turned the wipers on"" is the effect of"
The driver turned the wipers on. It started raining.,It started raining.," The sentence ""It started raining"" is the cause of the other."," The sentence ""The driver turned the wipers on"" is the effect of"
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded., The sentence about the watermelon exploding is the cause of the other sentence.,"

A watermelon exploded. A man was covered in sticky red go"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded., The sentence about the man being covered in sticky red goo is the cause,"

The sentence ""A watermelon exploded"" is the effect of the"
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.," The sentence ""She went to the store and bought toilet paper"" is the", The first sentence is the effect of the other.
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.," The sentence ""She noticed that she was out of toilet paper"" is the", The first sentence is the effect of the other.
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.," The sentence ""A large object hit the Earth"" is the cause of the"," The sentence ""The dinosaurs became extinct"" is the effect of the other sentence"
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.," The sentence ""A large object hit the Earth"" is the cause of the"," The sentence ""A large object hit the Earth"" is the effect of the"
The bottle was left open. The soda went flat.,The bottle was left open.," The sentence ""The bottle was left open"" is the cause of the other"," The sentence ""The soda went flat"" is the effect of the other."
The soda went flat. The bottle was left open.,The bottle was left open.," The sentence ""The bottle was left open"" is the cause of the other"," The sentence ""The bottle was left open"" is the effect of the other"
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.," The sentence that says ""George plugged the laptop charger in"" is the cause", The laptop charger was plugged in by George.
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.," The sentence ""The laptop ran out of battery"" is the cause of the", The first sentence.
The curtains were opened. Sunlight filled the room.,The curtains were opened.," The sentence ""The curtains were opened"" is the cause of the other sentence"," The sentence ""The curtains were opened"" is the effect of the other sentence"
Sunlight filled the room. The curtains were opened.,The curtains were opened.," The sentence ""The curtains were opened"" is the cause of the other."," The sentence ""The curtains were opened"" is the effect of the other sentence"
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.," The sentence ""The insect pollinated the tomato flowers"" is the cause of"," The sentence ""The insect pollinated the tomato flowers"" is the effect of"
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers.
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.," The sentence ""The girl stepped onto the street"" is the cause of the", The first sentence is the effect of the other.
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street., The driver hit the brakes because the girl stepped onto the street., The first sentence is the effect of the other.
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction., The performer ran off the stage because there was a wardrobe malfunction., The performer ran off the stage.
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction., The performer ran off the stage is the cause of the wardrobe malfunction., The performer ran off the stage.
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.," The bird hitting the engine is the cause of the ""fasten seatbel"," The bird hitting the engine turned on the ""fasten seatbelts"""
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.," The bird hitting the engine is the cause of the ""fasten seatbel"," The bird hitting the engine is the effect of the pilot turning on the """
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night.
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.," The sentence ""The milk was left outside the fridge over night"" is the", The milk was left outside the fridge over night.
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying., The man turning down the music volume is the cause of the woman being able, The man turning down the music volume is the effect of the woman talking.
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying., The man turned down the music volume., The man turned down the music volume.
The power was out for days. The meat spoiled.,The power was out for days.," The sentence ""The meat spoiled"" is the cause of the other sentence """, The meat spoiled is the effect of the power being out for days.
The meat spoiled. The power was out for days.,The power was out for days., The meat spoiled is the cause of the power being out for days., The meat spoiled is the effect of the power being out for days.
The gardener planted a seed. A flower grew.,The gardener planted a seed., The gardener planted a seed is the cause of the other sentence. A," The sentence ""A flower grew"" is the effect of the other."
A flower grew. The gardener planted a seed.,The gardener planted a seed., The gardener planted a seed is the cause of the flower growing.," The sentence ""The gardener planted a seed"" is the effect of the"
The team won the game. The team won the championship.,The team won the game., The team won the championship., The team won the championship is the effect of the other.
The team won the championship. The team won the game.,The team won the game., The team won the game.," The sentence ""The team won the game"" is the effect of the other"
The door was locked. The man climbed in through the window.,The door was locked., The man climbing in through the window is the cause of the door being locked, The man climbed in through the window.
The man climbed in through the window. The door was locked.,The door was locked., The man climbed in through the window., The man climbed in through the window; the door was locked.
The wind blew strong. The ship capsized.,The wind blew strong.," The sentence ""The wind blew strong"" is the cause of the other sentence"," The sentence ""The wind blew strong"" is the effect of the other."
The ship capsized. The wind blew strong.,The wind blew strong.," The sentence ""The ship capsized"" is the cause of the other sentence"," The sentence ""The ship capsized"" is the effect of the other sentence"
The man robbed a gas station. The man went to jail.,The man robbed a gas station., The man going to jail is the cause of the man robbing the gas station, The man went to jail is the effect of the man robbed a gas station
The man went to jail. The man robbed a gas station.,The man robbed a gas station., The man robbed a gas station because he went to jail., The man went to jail is the effect of the other.
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.," The sentence ""Acme paid Jill's legal fees"" is the cause of"," The sentence ""Acme paid Jill's legal fees"" is the effect of"
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.," The sentence ""Acme paid Jill's legal fees"" is the cause of", The effect of the other sentence is that Acme paid Jill's legal fees
There was a snowstorm. School was cancelled.,There was a snowstorm.," The sentence ""School was cancelled"" is the cause of the other."," The sentence ""School was cancelled"" is the effect of the other."
School was cancelled. There was a snowstorm.,There was a snowstorm.," The sentence ""School was cancelled."" is the cause of the other sentence """," The sentence ""School was cancelled"" is the effect of the other sentence """
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling., The tenants noticed mold on the bathroom ceiling.," The tenants noticed mold on the bathroom ceiling, and the tenants contacted their landlord"
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling., The tenants noticed mold on the bathroom ceiling.," The sentence ""The tenants contacted their landlord"" is the effect of the other"
I studied hard. I got an A on the test.,I studied hard.," The sentence ""I got an A on the test"" is the cause of", The first sentence is the effect of the other.
I got an A on the test. I studied hard.,I studied hard., The first sentence is the cause of the other., I got an A on the test.
The boy threw a rock. The window broke.,The boy threw a rock.," The sentence ""The boy threw a rock"" is the cause of the sentence"," The sentence ""The boy threw a rock"" is the cause of the sentence"
The window broke. The boy threw a rock.,The boy threw a rock.," The sentence ""The window broke"" is the cause of the other."," The sentence ""The window broke"" is the effect of the other."
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light., The driver was fined because he ran a red light., The driver was fined is the effect of the driver ran a red light.
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light., The driver was fined because he ran a red light., The driver was fined is the effect of the driver ran a red light.
The girl skipped school. The girl got detention.,The girl skipped school., The girl skipping school is the cause of the other sentence.," The sentence ""The girl skipped school"" is the effect of the other."
The girl got detention. The girl skipped school.,The girl skipped school., The girl got detention because she skipped school.," The sentence ""The girl got detention"" is the effect of the other."
I flipped the switch. Light filled the room.,I flipped the switch.," The sentence ""I flipped the switch"" is the cause of the other sentence"," The sentence ""I flipped the switch"" is the effect of the other sentence"
Light filled the room. I flipped the switch.,I flipped the switch.," The sentence ""I flipped the switch"" is the cause of the other."," The sentence ""I flipped the switch"" is the effect of the other sentence"
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.," The sentence ""I pulled the dog's tail"" is the cause of the"," The sentence ""The dog bit me"" is the effect of the other."
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.," The sentence ""I pulled the dog's tail"" is the cause of the"," The sentence ""I pulled the dog's tail"" is the effect of the"
School was on break. The family went on vacation.,School was on break., The family went on vacation because school was on break., The family went on vacation.
The family went on vacation. School was on break.,School was on break., The family went on vacation., The family went on vacation.
The air conditioner broke. The family went to the beach.,The air conditioner broke., The air conditioner broke is the cause of the family going to the beach, The family went to the beach is the effect of the air conditioner breaking
The family went to the beach. The air conditioner broke.,The air conditioner broke., The air conditioner breaking is the cause of the family going to the beach," The family went to the beach. The air conditioner broke.

"
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.," The sentence ""Mom gave the girl fever medicine"" is the cause of the", The first sentence is the effect of the other.
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.," The sentence ""The girl had a fever"" is the cause of the other", The first sentence is the effect of the other.
The bread was dry. We made French toast.,The bread was dry., The bread was dry., The bread was dry is the effect of the French toast.
We made French toast. The bread was dry.,The bread was dry., The bread was dry., The bread was dry.
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings., The company's stock went up because the company had strong earnings., The company's stock went up is the effect of the company's strong earnings
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings., The company's stock went up because the company's posted strong earnings., The company's stock went up is the effect of the company's strong earnings
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty., I put my clothes in the washing machine is the cause of my clothes getting, I put my clothes in the washing machine is the effect of my clothes getting
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.," The sentence ""My clothes got dirty"" is the cause of the other.", The first sentence is the effect of the other.
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion., The promotion is the cause of the celebration., The first sentence is the effect of the other.
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion., My friend's promotion is the cause of their family celebration., My friend got a promotion is the effect of the other.
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved., The basketball player was shoved., The basketball player took a free throw.
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved., The basketball player was shoved., The basketball player was shoved is the effect of the free throw.
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.," The sentence ""Alice didn't wake up"" is the cause of the other", The first sentence is the effect of the other.
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up., The first sentence is the cause of the other., The first sentence is the effect of the other.
The floor was wet. The man sued.,The floor was wet., The floor was wet.," The floor was wet. The man sued.

The floor was wet"
The man sued. The floor was wet.,The floor was wet.," The sentence ""The floor was wet"" is the cause of the other.", The man sued because the floor was wet.
It rained. The picnic was cancelled.,It rained.," The sentence ""The picnic was cancelled."" is the cause of the other.", The picnic was cancelled.
The picnic was cancelled. It rained.,It rained.," The sentence ""It rained"" is the cause of the other sentence """, The picnic was cancelled.
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.," The sentence ""The girl caught a cold"" is the cause of the other"," The sentence ""The girl caught a cold"" is the effect of the other"
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.," The sentence ""The girl didn't wear her sweater"" is the cause of"," The sentence ""The girl caught a cold"" is the effect of the other"
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.," The sentence ""A search party was assembled"" is the cause of the other", The man got lost in the woods.
A search party was assembled. The man got lost in the woods.,The man got lost in the woods., The man got lost in the woods., The man got lost in the woods.
Ted went out drinking. Ted had a hangover.,Ted went out drinking.," The sentence ""Ted had a hangover"" is the cause of the other", The first sentence is the effect of the other.
Ted had a hangover. Ted went out drinking.,Ted went out drinking., The first sentence is the cause of the other., The first sentence is the cause of the second.
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.," The sentence that says ""Bob opened the jar"" is the cause of the"," The sentence ""Bob opened the jar and was frustrated"" is the effect of"
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.," The sentence ""Alice ate the last cookie"" is the cause of the other"," The sentence ""Alice ate the last cookie"" is the effect of the other"
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.," The sentence ""Jimmy took the last piece of cake"" is the cause of", The last sentence is the effect of the other.
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.," The sentence ""Jimmy took the last piece of cake"" is the cause of"," The sentence ""Jimmy took the last piece of cake"" is the effect of"
