sequence,shuffled,first_color,second_color,third_color,fourth_color,final_color
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell into the hole.,False,blue,red,green,brown,purple
The blue ball hit the red ball. The brown ball hit the purple ball. The green ball hit the brown ball. The red ball hit the green ball. The purple ball fell into the hole.,True,blue,red,green,brown,purple
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell into the hole.,False,blue,red,green,brown,black
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell into the hole.,True,blue,red,green,brown,black
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,brown,white
The blue ball hit the red ball. The brown ball hit the white ball. The red ball hit the green ball. The green ball hit the brown ball. The white ball fell into the hole.,True,blue,red,green,brown,white
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,red,green,purple,black
The blue ball hit the red ball. The green ball hit the purple ball. The purple ball hit the black ball. The red ball hit the green ball. The black ball fell into the hole.,True,blue,red,green,purple,black
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,purple,white
The red ball hit the green ball. The purple ball hit the white ball. The green ball hit the purple ball. The blue ball hit the red ball. The white ball fell into the hole.,True,blue,red,green,purple,white
The blue ball hit the red ball. The red ball hit the green ball. The green ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,green,black,white
The red ball hit the green ball. The green ball hit the black ball. The black ball hit the white ball. The blue ball hit the red ball. The white ball fell into the hole.,True,blue,red,green,black,white
The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,red,brown,purple,black
The brown ball hit the purple ball. The red ball hit the brown ball. The blue ball hit the red ball. The purple ball hit the black ball. The black ball fell into the hole.,True,blue,red,brown,purple,black
The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,red,brown,purple,white
The purple ball hit the white ball. The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the purple ball. The white ball fell into the hole.,True,blue,red,brown,purple,white
The blue ball hit the red ball. The red ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,brown,black,white
The red ball hit the brown ball. The brown ball hit the black ball. The blue ball hit the red ball. The black ball hit the white ball. The white ball fell into the hole.,True,blue,red,brown,black,white
The blue ball hit the red ball. The red ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,red,purple,black,white
The red ball hit the purple ball. The black ball hit the white ball. The purple ball hit the black ball. The blue ball hit the red ball. The white ball fell into the hole.,True,blue,red,purple,black,white
The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,green,brown,purple,black
The purple ball hit the black ball. The green ball hit the brown ball. The blue ball hit the green ball. The brown ball hit the purple ball. The black ball fell into the hole.,True,blue,green,brown,purple,black
The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,green,brown,purple,white
The brown ball hit the purple ball. The blue ball hit the green ball. The green ball hit the brown ball. The purple ball hit the white ball. The white ball fell into the hole.,True,blue,green,brown,purple,white
The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,green,brown,black,white
The black ball hit the white ball. The brown ball hit the black ball. The blue ball hit the green ball. The green ball hit the brown ball. The white ball fell into the hole.,True,blue,green,brown,black,white
The blue ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,green,purple,black,white
The black ball hit the white ball. The blue ball hit the green ball. The purple ball hit the black ball. The green ball hit the purple ball. The white ball fell into the hole.,True,blue,green,purple,black,white
The blue ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,brown,purple,black,white
The purple ball hit the black ball. The blue ball hit the brown ball. The black ball hit the white ball. The brown ball hit the purple ball. The white ball fell into the hole.,True,blue,brown,purple,black,white
The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,red,green,brown,purple,black
The brown ball hit the purple ball. The green ball hit the brown ball. The red ball hit the green ball. The purple ball hit the black ball. The black ball fell into the hole.,True,red,green,brown,purple,black
The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,red,green,brown,purple,white
The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,True,red,green,brown,purple,white
The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,green,brown,black,white
The green ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The red ball hit the green ball. The white ball fell into the hole.,True,red,green,brown,black,white
The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,green,purple,black,white
The red ball hit the green ball. The purple ball hit the black ball. The green ball hit the purple ball. The black ball hit the white ball. The white ball fell into the hole.,True,red,green,purple,black,white
The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,brown,purple,black,white
The purple ball hit the black ball. The red ball hit the brown ball. The brown ball hit the purple ball. The black ball hit the white ball. The white ball fell into the hole.,True,red,brown,purple,black,white
The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,green,brown,purple,black,white
The black ball hit the white ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The white ball fell into the hole.,True,green,brown,purple,black,white
