prompts,correct_answers,cause_answers,effect_answers,cause_answers_ex_switched,effect_answers_ex_switched
The child hurt their knee. The child started crying.,The child hurt their knee., The child started crying., The child started crying., The child started crying., The child started crying.
The child started crying. The child hurt their knee.,The child hurt their knee., The child started crying., The child started crying., The child hurt their knee., The child started crying.
My car got dirty. I washed the car.,My car got dirty., My car got dirty., My car got dirty., I washed the car., I washed the car.
I washed the car. My car got dirty.,My car got dirty., My car got dirty., My car got dirty., My car got dirty., My car got dirty.
Someone fainted. Someone called 911.,Someone fainted., Someone called 911., Someone called 911., Someone called 911., Someone called 911.
Someone called 911. Someone fainted.,Someone fainted., Someone called 911., Someone called 911., Someone fainted., Someone fainted.
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter., The man accidently pushed the vase off a counter., The man accidently pushed the vase off a counter., The vase shattered on the floor., The vase shattered on the floor.
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter., The vase shattered on the floor., The vase shattered on the floor., A man accidently pushed the vase off a counter., The vase shattered on the floor.
It started raining. The woman who was walking on the street opened her umbrella.,It started raining., It started raining., It started raining., The woman who was walking on the street opened her umbrella., The woman who was walking on the street opened her umbrella.
The woman who was walking on the street opened her umbrella. It started raining.,It started raining., The woman who was walking on the street opened her umbrella., The woman who was walking on the street opened her umbrella., It started raining., It started raining.
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise., The boy lifted his eyes from the book., The boy lifted his eyes from the book., The boy lifted his eyes from the book., The boy lifted his eyes from the book.
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise., The boy lifted his eyes from the book., The boy lifted his eyes from the book., There was a loud noise., The boy lifted his eyes from the book.
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare., The girl had a nightmare., The girl had a nightmare., The girl woke up covered in cold sweat., The girl woke up covered in cold sweat.
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare., The girl woke up covered in cold sweat., The girl woke up covered in cold sweat., The girl had a nightmare., The girl had a nightmare.
It started raining. The driver turned the wipers on.,It started raining., It started raining., It started raining., The driver turned the wipers on., The driver turned the wipers on.
The driver turned the wipers on. It started raining.,It started raining., The driver turned the wipers on., The driver turned the wipers on., It started raining., It started raining.
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded., A watermelon exploded., A watermelon exploded., A watermelon exploded., A watermelon exploded.
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded., A watermelon exploded., A man was covered in sticky red goo., A watermelon exploded., A watermelon exploded.
