prompts,correct_answers,cause_answers,effect_answers
The child hurt their knee. The child started crying.,The child hurt their knee.," The child hurt their knee. The child started crying.
Question:"," The child hurt their knee. The child started crying.
Question:"
The child started crying. The child hurt their knee.,The child hurt their knee.," The child started crying. The child hurt their knee.
Question:"," The child started crying. The child hurt their knee.
Question:"
My car got dirty. I washed the car.,My car got dirty.," The car got dirty.
Question: Which sentence is the cause of"," The effect of the other is the effect of the other.
Question"
I washed the car. My car got dirty.,My car got dirty.," The car got dirty.
Question: Which sentence is the cause of"," The effect of the other is the effect of the other.
Question"
Someone fainted. Someone called 911.,Someone fainted.," The cause of the other is the sentence that follows it.
Question"," The effect of the other is the effect of the other.
Question"
Someone called 911. Someone fainted.,Someone fainted.," The cause of the other is the sentence that follows it.
Question"," The effect of the other is the effect of the other.
Question"
A man accidently pushed the vase off a counter. The vase shattered on the floor.,A man accidently pushed the vase off a counter.," The vase broke on the floor.
Question: Which sentence is", The effect of the other is the same as the effect of the first
The vase shattered on the floor. A man accidently pushed the vase off a counter.,A man accidently pushed the vase off a counter.," The vase broke on the floor.
Question: Which sentence is"," The effect of the other is the same.
Question: Which sentence"
It started raining. The woman who was walking on the street opened her umbrella.,It started raining.," The woman who was walking on the street opened her umbrella.
Question"," The effect of the other is the same.
Question: Which sentence"
The woman who was walking on the street opened her umbrella. It started raining.,It started raining., The woman who was walking on the street opened her umbrella. It started," ""The woman who was walking on the street opened her umbrella.""
"
There was a loud noise. The boy lifted his eyes from the book.,There was a loud noise.," The boy was in the middle of the book.
Question: Which"," ""The boy was a little bit scared.""
Question: Which sentence"
The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.," The boy was standing in front of the door.
Question: Which"," ""The boy lifted his eyes from the book. There was a loud"
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare., The girl had a nightmare. The girl woke up covered in cold sweat, The effect of the other sentence is the same as the effect of the
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare., The girl woke up covered in cold sweat. The girl had a nightmare, The effect of the other sentence is the same as the effect of the
It started raining. The driver turned the wipers on.,It started raining.," The rain was caused by the driver turning the wipers on.
"," ""The rain was falling. The driver turned the wipers on."""
